extformaction,extfavicon,atsymbol,domaininsubdomains,querylength,randomstring,hostnamelength,urllength,numpercent,subdomainlevel,pctnullselfredirecthyperlinks,fakelinkinstatusbar,relativeformaction,numdash,frequentdomainnamemismatch,pctexthyperlinks,numquerycomponents,numnumericchars,numunderscore,domaininpaths,pathlength,insecureforms,abnormalformaction,pctextresourceurls,numsensitivewords,tildesymbol,embeddedbrandname,httpsinhostname,doubleslashinpath,numhash,numampersand,id,class_label
1,0,0,0,0,0,21,56,0,1,0,0,0,0,0,0,0,0,1,1,28,1,0,0,0,0,0,0,0,0,0,9227,0
1,0,0,0,0,0,17,63,0,1,0,0,0,0,0,0,0,0,3,1,39,1,0,0,0,0,0,0,0,0,0,5962,0
0,0,0,0,0,1,23,81,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,727,1
0,0,0,0,0,0,19,39,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,1,0,0,0,0,2144,1
0,0,0,0,0,1,14,90,0,1,0,0,0,0,0,0,0,0,0,1,69,1,0,0,0,0,0,0,0,0,0,7111,0
0,0,0,0,0,1,17,69,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,2352,1
0,0,0,0,0,0,26,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9926,0
0,0,0,1,0,1,66,121,0,2,0,0,1,0,0,0,0,0,0,1,48,1,0,0,0,0,0,0,0,0,0,3423,1
0,0,0,0,0,0,12,57,0,1,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,9655,0
0,0,0,0,76,1,28,144,2,2,0,0,0,0,0,0,2,0,1,1,32,1,0,0,0,0,0,0,0,0,1,7430,0
0,0,0,0,0,1,13,79,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,95,1
1,0,0,0,0,0,15,61,0,1,0,0,0,0,0,0,0,0,0,1,39,1,0,0,0,0,0,0,0,0,0,7376,0
0,0,0,0,0,0,14,63,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,8066,0
0,1,0,0,0,0,17,49,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,1,0,0,0,0,0,0,4513,1
0,0,0,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8854,0
0,0,0,0,5,0,15,57,0,0,0,0,0,0,0,0,1,0,2,1,29,0,0,0,0,0,0,0,0,0,0,8423,0
0,0,0,0,0,1,19,56,0,1,0,0,1,0,0,0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,680,1
0,0,0,0,0,0,11,40,0,1,0,0,1,0,0,0,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,9490,0
0,0,0,0,0,1,20,90,0,1,0,0,0,0,0,0,0,0,0,1,63,1,0,0,0,0,0,0,0,0,0,3678,1
1,1,0,0,0,0,34,92,0,1,0,0,1,0,0,0,0,0,0,0,51,1,1,0,0,0,1,0,0,0,0,3386,1
1,0,0,0,49,0,14,72,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5521,0
0,0,0,0,0,1,15,82,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,6465,0
0,0,0,0,0,0,16,42,0,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1947,1
0,1,0,0,0,0,25,79,0,1,0,0,0,0,0,0,0,0,0,1,47,1,0,0,1,0,0,0,0,0,0,3780,1
0,0,0,0,0,1,12,59,0,1,0,0,1,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,0,9181,0
1,1,0,0,174,0,12,240,0,0,0,0,0,0,0,0,6,0,0,1,21,1,0,0,0,0,0,0,0,1,12,417,1
1,1,0,0,0,0,15,40,0,0,0,0,1,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,4319,1
0,0,0,0,0,0,24,58,0,1,0,0,1,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,2409,1
0,0,0,0,0,1,22,82,0,1,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,5612,0
0,0,0,1,0,1,57,109,0,2,0,0,1,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,3800,1
0,0,0,0,0,0,13,24,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,3846,1
1,0,0,0,0,0,22,56,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,9014,0
0,1,0,0,0,0,16,54,0,1,0,0,1,0,0,0,0,0,0,0,31,1,1,0,0,0,0,0,0,0,0,8837,0
0,1,0,0,0,0,20,49,0,1,0,0,1,0,0,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,1361,1
0,0,0,0,25,0,14,57,0,1,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0,0,0,0,1,9971,0
0,0,0,0,0,0,11,54,0,1,0,0,1,0,0,0,0,0,0,1,36,1,1,0,0,0,0,0,0,0,0,9903,0
0,0,0,0,0,1,23,64,0,1,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,2773,1
0,1,0,0,0,1,15,55,0,2,0,0,0,0,0,0,0,0,0,1,33,1,0,0,1,0,0,0,0,0,0,2653,1
0,0,0,0,104,0,12,146,0,0,0,0,0,0,0,0,10,0,3,0,22,1,0,0,1,0,0,0,0,0,6,1539,1
0,0,0,1,30,1,67,110,0,6,0,0,1,0,0,0,2,0,0,0,5,1,0,0,2,0,0,0,0,0,0,2071,1
0,0,0,0,11,0,21,58,0,1,0,0,0,0,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,9553,0
1,0,0,0,0,1,15,99,0,0,0,0,0,0,0,0,0,0,0,1,77,1,0,0,0,0,0,0,0,0,0,8131,0
1,0,0,0,4,0,11,40,0,0,0,0,1,0,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,0,0,8600,0
1,0,0,0,146,0,10,201,0,1,0,0,0,0,0,0,6,0,6,1,37,1,0,0,0,0,0,0,0,0,5,2394,1
0,0,0,0,0,0,25,56,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,4618,1
0,1,0,0,0,0,10,39,0,0,0,0,1,0,0,0,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,4519,1
0,0,0,0,0,1,6,43,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,1045,1
0,1,0,0,0,0,17,66,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,1,0,0,0,0,622,1
1,0,0,0,0,1,14,101,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0,7035,0
0,0,0,0,0,1,22,93,0,1,0,0,1,0,0,0,0,0,0,1,64,1,0,0,0,0,0,0,0,0,0,1740,1
0,0,0,0,0,0,21,41,0,1,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,591,1
0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8352,0
0,0,0,0,0,1,20,47,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,929,1
0,0,0,0,0,0,13,82,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0,0,1,0,0,0,0,0,0,911,1
0,0,0,0,13,1,19,84,0,0,0,0,0,0,0,0,1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,1106,1
0,0,0,0,22,0,15,58,0,1,0,0,1,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,0,0,1,9330,0
0,0,0,0,0,0,20,67,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,4704,1
0,0,0,0,0,1,11,70,0,0,0,0,1,0,0,0,0,0,0,1,52,1,0,0,1,0,0,0,0,0,0,753,1
0,0,0,0,0,1,24,47,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1979,1
0,0,0,0,0,1,19,57,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,8530,0
0,0,0,0,0,0,16,47,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,532,1
0,0,0,0,0,1,27,97,0,1,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,4,3252,1
0,0,0,1,0,1,66,121,0,2,0,0,1,0,0,0,0,0,0,1,48,1,0,0,0,0,0,0,0,0,0,3357,1
0,0,0,0,0,0,10,95,0,0,0,0,0,0,0,0,0,0,1,1,78,1,0,0,0,0,0,0,0,0,0,1215,1
0,0,0,0,0,1,19,59,0,0,0,0,1,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,4206,1
0,0,0,0,19,0,12,61,0,0,0,0,0,0,0,0,1,0,1,0,22,1,0,0,0,0,0,0,0,0,1,1205,1
0,0,0,0,0,1,19,34,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1689,1
0,0,0,0,0,0,22,75,0,1,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,3725,1
0,0,0,0,0,1,27,67,0,1,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,0,0,0,0,0,939,1
0,0,0,0,0,0,14,76,0,1,0,0,0,0,0,0,0,0,0,1,55,1,0,0,0,1,0,0,0,0,0,1276,1
0,0,0,0,0,0,18,59,0,0,0,0,1,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,4300,1
0,1,0,0,0,1,17,155,0,1,0,0,1,0,0,0,0,0,1,1,131,1,1,0,1,0,0,0,0,0,0,3582,1
0,0,0,0,0,1,19,48,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,268,1
0,0,0,0,142,0,13,179,0,0,0,0,0,0,0,0,8,0,5,1,16,1,0,0,0,0,0,0,0,0,7,5683,0
0,1,0,0,0,1,10,66,0,0,0,0,0,0,0,0,0,0,0,1,49,1,0,0,0,0,0,0,0,0,0,8004,0
0,0,0,0,0,1,14,46,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,92,1
0,1,0,0,0,1,20,70,0,1,0,0,0,0,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,8083,0
0,0,0,0,0,0,29,44,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,9577,0
0,0,0,0,0,1,13,69,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,1,0,0,0,0,4447,1
0,0,0,0,82,0,22,113,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6147,0
0,0,0,0,0,0,12,95,0,0,0,0,0,0,0,0,0,0,0,1,76,1,0,0,0,0,0,0,0,0,0,8019,0
0,1,0,0,0,0,28,52,0,1,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,2086,1
0,0,0,0,0,1,20,68,0,0,0,0,1,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,1899,1
0,0,0,0,0,0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1829,1
0,0,0,0,0,0,15,42,0,1,0,0,0,0,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,9548,0
0,0,0,0,0,0,17,46,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,1506,1
1,0,0,0,0,1,18,52,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,0,0,0,0,0,0,0,0,8322,0
0,1,0,1,0,0,22,30,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,684,1
1,0,0,0,0,1,12,67,0,0,0,0,0,0,0,0,0,0,0,1,48,1,0,0,0,0,0,0,0,0,0,5474,0
0,0,0,0,0,0,15,39,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2902,1
0,0,0,0,0,1,12,44,0,0,0,0,1,0,0,0,0,0,0,1,25,1,0,0,0,0,0,0,0,0,0,8689,0
0,0,0,0,0,0,18,40,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,4047,1
0,1,0,0,0,1,20,68,0,1,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,2969,1
0,0,0,1,0,1,28,62,0,4,0,0,0,0,0,0,0,0,0,1,27,1,0,0,2,0,0,0,0,0,0,3684,1
1,1,0,0,66,0,25,109,0,0,0,0,0,0,0,0,5,0,1,0,10,0,0,0,0,0,0,0,0,0,4,6722,0
0,0,0,0,0,1,9,35,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,8828,0
0,0,0,0,0,1,26,84,0,1,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,1593,1
0,0,0,0,0,0,28,93,0,1,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,5913,0
0,0,0,0,0,1,17,102,0,0,0,0,0,0,0,0,0,0,0,1,78,1,0,0,0,0,0,0,0,0,0,5277,0
0,0,0,0,43,0,23,75,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,2,7631,0
0,0,0,0,0,0,28,73,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,5235,0
0,1,0,0,0,1,8,77,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,6371,0
0,0,0,0,45,0,16,133,0,2,0,0,1,0,0,0,1,0,0,1,64,1,0,0,0,0,0,0,0,0,0,6021,0
0,0,0,0,0,1,23,36,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,8506,0
0,0,0,0,0,1,8,61,0,0,0,0,0,0,0,0,0,0,0,1,46,1,0,0,0,0,0,0,0,0,0,7393,0
0,1,0,0,0,0,16,36,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,1684,1
0,0,0,0,0,0,22,56,0,0,0,0,1,0,0,0,0,0,0,1,27,1,0,0,0,0,0,0,0,0,0,9100,0
0,0,0,0,0,0,15,65,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,1,0,0,0,0,0,0,4100,1
0,0,0,0,0,1,16,46,0,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,9307,0
0,0,0,0,0,1,14,32,0,0,0,0,1,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,8740,0
0,0,0,0,0,1,9,44,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,1,0,0,0,0,2621,1
0,1,0,0,0,1,20,153,0,1,0,0,0,0,0,0,0,0,0,1,126,1,0,0,0,0,0,0,0,0,0,2990,1
1,0,0,0,0,0,9,49,0,0,0,0,0,0,0,0,0,0,1,0,33,1,0,0,0,0,0,0,0,0,0,3151,1
0,0,0,0,0,0,19,36,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1493,1
1,1,0,0,0,1,20,55,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,0,0,4881,1
0,0,0,0,5,1,13,36,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,8794,0
0,0,0,0,0,1,10,73,0,1,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,3045,1
0,0,0,0,0,1,18,80,0,1,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,3348,1
0,0,0,0,30,0,16,61,0,1,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,1,8232,0
0,0,0,0,0,1,21,84,0,1,0,0,0,0,0,0,0,0,0,1,56,1,0,0,0,0,0,0,0,0,0,2996,1
0,1,0,0,3,0,17,60,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,1,0,1,0,0,0,0,2758,1
0,1,0,0,0,0,18,44,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,2690,1
0,0,0,0,0,1,66,90,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,3434,1
1,0,0,0,0,1,12,57,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,8922,0
0,1,0,0,0,1,17,77,0,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0,0,0,0,0,0,0,5851,0
1,0,0,0,0,0,24,62,0,1,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,2276,1
0,0,0,0,0,0,16,47,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,0,0,0,2112,1
0,0,0,0,24,1,23,66,0,1,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,1,7487,0
0,1,0,0,0,1,23,58,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,0,0,4332,1
0,0,0,0,0,0,18,60,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,7921,0
0,0,0,0,107,0,12,149,0,0,0,0,0,0,0,0,10,0,5,0,22,1,0,0,1,0,0,0,0,0,4,1300,1
0,0,0,0,0,1,20,46,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,3979,1
0,0,0,0,0,0,14,34,0,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,0,0,0,0,0,4601,1
0,0,0,0,16,1,20,77,0,1,0,0,0,0,0,0,1,0,1,1,33,1,0,0,0,0,0,0,0,0,0,5846,0
0,0,0,0,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,0,207,1
1,1,0,0,0,0,17,64,0,1,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,0,652,1
0,0,0,0,0,1,11,25,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,8498,0
0,0,0,1,0,1,66,121,0,2,0,0,1,0,0,0,0,0,0,1,48,1,0,0,0,0,0,0,0,0,0,3289,1
0,0,0,0,0,1,16,66,0,1,0,0,1,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,7015,0
0,1,0,0,0,1,19,106,0,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,0,0,0,0,0,0,6233,0
0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,2131,1
0,0,0,0,0,0,11,50,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,0,0,0,0,0,0,0,8923,0
0,0,0,0,0,1,25,54,0,0,0,0,1,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,1995,1
0,0,0,0,0,0,17,36,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,4656,1
0,0,0,1,0,1,57,109,0,2,0,0,1,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,3660,1
0,0,0,0,0,0,16,56,0,0,0,0,0,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,8428,0
0,0,0,0,7,1,23,39,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8481,0
0,1,0,0,0,1,31,78,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,0,0,0,0,5786,0
0,0,0,0,0,1,20,133,0,1,0,0,0,0,0,0,0,0,2,1,106,0,0,0,0,0,0,0,0,0,0,5232,0
0,0,0,0,0,1,17,38,0,1,0,0,1,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,9850,0
0,0,0,0,0,0,16,61,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,7750,0
0,0,0,0,0,0,15,72,0,1,0,0,1,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,4871,1
0,1,0,0,0,1,30,137,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,7597,0
0,0,0,0,0,1,18,133,0,1,0,0,0,0,0,0,0,0,0,0,108,1,0,0,0,0,0,0,0,0,0,906,1
0,0,0,0,52,1,15,76,0,0,0,0,0,0,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,3,5777,0
0,1,0,0,5,0,19,48,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,93,1
0,1,0,0,0,1,25,58,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,4010,1
0,1,0,0,33,0,6,104,0,0,0,0,0,0,0,0,1,0,0,1,57,1,0,0,0,0,0,0,0,0,0,2760,1
0,0,0,0,0,0,13,76,0,1,0,0,0,0,0,0,0,0,0,1,56,1,0,0,0,0,0,0,0,0,0,6781,0
0,0,0,0,5,1,20,48,0,1,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,8554,0
0,0,0,0,0,0,12,58,0,1,0,0,0,0,0,0,0,0,1,1,39,1,0,0,0,0,1,0,0,0,0,4888,1
0,0,0,0,0,1,19,119,0,0,0,0,0,0,0,0,0,0,0,1,93,1,0,0,0,0,0,0,0,0,0,7357,0
0,0,0,0,25,1,17,80,0,1,0,0,0,0,0,0,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,5322,0
0,0,0,0,0,1,23,76,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,1681,1
0,0,0,0,0,1,25,90,0,1,0,0,1,0,0,0,0,0,0,1,58,1,1,0,0,0,0,0,0,0,0,7510,0
0,1,0,0,0,1,15,58,0,1,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,9095,0
0,0,0,0,0,0,13,62,0,0,0,0,1,0,0,0,0,0,0,1,42,1,0,0,0,0,0,0,0,0,0,7981,0
0,0,0,0,0,1,13,65,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,7347,0
0,0,0,0,75,0,23,116,0,1,0,0,0,0,0,0,0,0,8,0,10,1,0,0,0,0,0,0,0,0,0,6079,0
0,1,0,0,0,0,18,39,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,9742,0
0,0,0,0,0,1,15,41,0,0,0,0,1,0,0,0,0,0,0,0,19,1,1,0,0,1,0,0,0,0,0,3847,1
0,0,0,0,0,1,33,138,0,1,0,0,0,0,0,0,0,0,0,1,98,1,0,0,0,0,0,0,0,0,0,5411,0
0,0,0,0,0,1,11,33,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,2287,1
1,0,0,0,0,0,14,34,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,9734,0
0,1,0,0,20,1,13,52,0,1,0,0,1,0,0,0,2,0,0,0,11,1,0,0,0,0,0,0,0,0,1,8376,0
0,0,0,0,6,1,23,80,0,1,0,0,0,0,0,0,1,0,2,1,43,1,0,0,0,0,0,0,0,0,0,7577,0
0,0,0,0,18,1,27,91,0,1,0,0,1,0,0,0,1,0,0,1,38,1,0,0,0,0,0,0,0,0,0,8135,0
0,0,0,0,15,0,20,50,0,1,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,1,9989,0
0,0,0,0,0,1,18,55,0,1,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,9884,0
0,0,0,0,0,1,13,49,0,1,0,0,0,0,0,0,0,0,0,1,29,1,0,0,0,0,0,0,0,0,0,9638,0
1,0,0,0,0,1,15,54,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,8849,0
0,0,0,0,0,1,21,51,0,1,0,0,0,0,0,0,0,0,1,0,23,1,0,0,1,0,0,0,0,0,0,3525,1
0,0,0,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,0,0,0,9123,0
1,0,0,0,0,0,16,59,0,1,0,0,1,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,9966,0
0,1,0,0,0,1,17,56,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,1,0,0,0,0,0,0,2617,1
0,0,0,0,0,0,16,53,0,1,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,1305,1
0,1,0,0,0,1,20,68,0,1,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,2979,1
0,0,0,1,0,0,64,99,0,1,0,0,0,0,0,0,0,0,0,0,28,1,0,0,2,0,0,0,0,0,0,3817,1
0,0,0,0,30,0,14,62,0,0,0,0,1,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,2,6671,0
1,0,0,0,0,1,15,61,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,7092,0
