name,vote_rate,vote_count,location,type,cuisine,cost_2pax
maxpresso,4.1,324,koramangala 7th block,cafe,cafe,700.0
billionaires cafe,3.8,47,koramangala 5th block,cafe,cafe,600.0
imperial restaurant,3.6,243,koramangala 6th block,casual dining,seafood,800.0
the food dude,4.0,177,koramangala 6th block,delivery,fast food,300.0
the retro,3.2,47,koramangala 7th block,quick bites,chinese,300.0
the paratha stories,3.3,38,koramangala 1st block,delivery,north indian,400.0
chung shan chinese restaurant,3.7,32,ejipura,quick bites,chinese,500.0
carrots,4.1,601,koramangala 6th block,casual dining,italian,1100.0
hot cross bun,3.3,4,koramangala 6th block,takeaway,fast food,500.0
nutri fit,3.4,5,hsr,takeaway,healthy food,300.0
kulfi & more,3.7,47,btm,dessert parlor,ice cream,200.0
nile garden restaurant,2.6,33,btm,casual dining,north indian,500.0
juice fresco,3.4,7,koramangala 4th block,beverage shop,beverages,150.0
durbar greens family restaurant,3.6,10,hosur road,casual dining,north indian,700.0
healthy yummy food restaurant,3.6,16,hsr,casual dining,beverages,900.0
banana beach bar,3.7,1014,koramangala 6th block,bar,continental,1300.0
gourmet food truck,3.8,17,south bangalore,food truck,chinese,200.0
ganesh restaurant,3.7,51,koramangala 5th block,quick bites,chinese,300.0
akshaya grand,3.4,29,btm,casual dining,north indian,750.0
punjabi chulha,3.8,38,koramangala 1st block,casual dining,north indian,500.0
om sweets & snacks,3.9,34,koramangala 5th block,sweet shop,mithai,150.0
the biriyani factory,3.1,30,btm,quick bites,north indian,500.0
gilly's restobar,4.5,3909,koramangala 5th block,pub,finger food,1000.0
desserts tree,3.8,86,koramangala 1st block,sweet shop,mithai,100.0
kopper kadai,4.1,1697,koramangala 5th block,casual dining,north indian,1200.0
house of commons,4.8,4441,koramangala 5th block,bar,continental,1000.0
raj darbar,3.7,47,koramangala 6th block,casual dining,north indian,800.0
bawarchi inn,3.1,140,btm,casual dining,north indian,600.0
m world cafe,3.5,14,koramangala 1st block,cafe,cafe,500.0
fresh bites,3.3,16,koramangala 1st block,quick bites,italian,400.0
the french loaf,3.1,15,hsr,bakery,bakery,400.0
elmas restaurant,3.5,34,koramangala 7th block,casual dining,north indian,650.0
bajji house,3.5,7,hsr,quick bites,street food,100.0
happy brew,4.0,2155,koramangala 5th block,lounge,continental,1000.0
loveshack,4.0,1758,domlur,lounge,continental,1600.0
barleyz,3.8,4648,koramangala 6th block,lounge,north indian,2000.0
over the top terrace lounge,3.9,1389,koramangala 5th block,lounge,continental,1400.0
truffles,4.7,14694,koramangala 5th block,cafe,cafe,900.0
invitation bar & restaurant,3.0,15,btm,bar,north indian,1000.0
mojo pizza - 2x toppings,4.2,218,hsr,delivery,pizza,600.0
chinese fire dragon,3.4,25,domlur,casual dining,chinese,550.0
krishna grand,3.2,42,hsr,quick bites,south indian,200.0
berry'd alive,4.3,1901,koramangala 5th block,dessert parlor,desserts,400.0
eat sleep eat repeat,3.5,16,koramangala 5th block,quick bites,chinese,200.0
the duke of juices,2.8,5,hsr,quick bites,juices,200.0
wakeup cafe,3.4,9,hsr,quick bites,fast food,300.0
classic biryani hut,3.4,10,hsr,quick bites,biryani,300.0
naati biriyani,3.1,4,btm,quick bites,kebab,300.0
namms cafe,3.2,8,koramangala 2nd block,delivery,biryani,300.0
lucky's biriyani point,3.4,9,hsr,takeaway,biryani,400.0
dyu art cafe,4.5,3842,koramangala 5th block,cafe,cafe,800.0
om made cafe,4.1,2731,koramangala 5th block,cafe,cafe,1300.0
khichadiwala,3.9,17,hsr,takeaway,north indian,400.0
eat street,4.2,1531,koramangala 6th block,quick bites,north indian,600.0
kitchens@hsr,3.1,247,hsr,takeaway,biryani,200.0
big wong xl,4.5,684,koramangala 5th block,casual dining,chinese,1400.0
california burrito,4.1,1225,koramangala 5th block,quick bites,mexican,400.0
royal treat,4.1,439,koramangala 5th block,casual dining,north indian,500.0
khawa karpo,4.3,995,koramangala 5th block,quick bites,chinese,350.0
hsr high street,3.8,321,hsr,casual dining,hyderabadi,800.0
market table,4.5,548,koramangala 5th block,cafe,cafe,900.0
bundar,4.1,2448,koramangala 6th block,cafe,cafe,700.0
art of delight,4.3,450,koramangala 5th block,dessert parlor,ice cream,400.0
indian coffee house & restaurant,4.2,676,koramangala 5th block,casual dining,south indian,650.0
samosa party,4.1,43,koramangala 5th block,quick bites,street food,150.0
baba da dhaba,4.1,450,koramangala 7th block,casual dining,north indian,650.0
the himalayan,4.5,324,koramangala 5th block,casual dining,korean,1200.0
jose's mess,4.4,316,btm,mess,kerala,300.0
the yellow tuk-tuk cafe,3.6,16,koramangala 5th block,cafe,cafe,500.0
johnny fox,3.9,69,hosur road,bar,north indian,1500.0
natural ice cream,4.5,940,koramangala 1st block,dessert parlor,ice cream,200.0
thottathil restaurant,3.8,69,btm,quick bites,kerala,300.0
the thickshake factory,4.3,236,koramangala 7th block,beverage shop,beverages,350.0
bengali fun foods,3.9,65,btm,casual dining,bengali,600.0
navya andhra style restaurant,3.5,12,hosur road,delivery,north indian,200.0
wild thyme restaurant,4.5,42,koramangala 5th block,casual dining,chinese,800.0
al hayath,3.5,17,btm,quick bites,north indian,200.0
porkeats,3.4,6,koramangala 6th block,quick bites,goan,400.0
gundappa donne biryani,3.1,117,koramangala 7th block,quick bites,biryani,200.0
nanna munna paratha house,3.6,20,btm,quick bites,north indian,300.0
al-madina,3.3,8,btm,takeaway,north indian,500.0
rolls on wheels,3.2,15,btm,quick bites,fast food,200.0
ambur biryani,3.5,17,koramangala 3rd block,quick bites,biryani,250.0
falahaar,3.9,154,koramangala 6th block,quick bites,north indian,200.0
juicemaker,3.9,164,koramangala 8th block,beverage shop,beverages,400.0
chopserve,3.7,19,koramangala 1st block,takeaway,bbq,300.0
bisimillah biriyani,3.5,11,btm,quick bites,biryani,300.0
lakeview milkbar,3.8,289,koramangala 8th block,dessert parlor,desserts,500.0
tandoori club,3.5,5,domlur,delivery,north indian,400.0
avon bar & kitchen,3.7,105,btm,casual dining,andhra,700.0
bansuri sweets,3.7,73,koramangala 6th block,sweet shop,mithai,250.0
jai jinendra,4.0,98,koramangala 6th block,quick bites,street food,200.0
popular bakery,3.7,36,hsr,dessert parlor,desserts,600.0
north indian and bengali mess,3.7,34,koramangala 5th block,mess,north indian,300.0
the donut baker,3.8,62,koramangala 7th block,bakery,desserts,150.0
v.s. garden restaurant,3.5,17,ejipura,casual dining,north indian,800.0
food theory,2.7,56,hsr,delivery,biryani,500.0
ande ka funda,3.6,72,koramangala 7th block,quick bites,north indian,250.0
french bakery,3.3,7,btm,delivery,desserts,250.0
jeevika donne biryani,3.4,8,koramangala 8th block,quick bites,biryani,300.0
bisimillah biriyani's & kebab's,3.3,6,btm,quick bites,biryani,300.0
hungry paunch,4.0,203,koramangala 6th block,food court,bengali,350.0
56 bhoga sweets,3.6,51,hsr,takeaway,mithai,150.0
meal in a box,3.6,15,koramangala 7th block,delivery,street food,300.0
murli,3.7,79,hsr,quick bites,north indian,500.0
rara avis,3.7,19,hsr,takeaway,kerala,400.0
pai's kitchen,3.5,11,koramangala 2nd block,quick bites,south indian,200.0
chettinad food house,3.1,7,btm,quick bites,south indian,300.0
rp sweets,3.4,9,btm,sweet shop,mithai,300.0
ngv fast food,3.5,8,koramangala 6th block,quick bites,north indian,250.0
big bowl theory,3.1,27,koramangala,delivery,continental,400.0
kaaka t cafe,3.5,6,btm,quick bites,fast food,400.0
melt,4.0,115,btm,casual dining,continental,1000.0
avanti indian barbeque & grill,3.4,46,domlur,casual dining,north indian,1100.0
krumbkraft,3.5,5,domlur,bakery,bakery,300.0
apsara ice cream,4.0,128,koramangala 5th block,dessert parlor,ice cream,200.0
dum & oven,3.7,29,hsr,casual dining,north indian,600.0
happy plate,3.6,54,koramangala 6th block,quick bites,north indian,400.0
neer dosa fish land,3.6,39,btm,casual dining,seafood,600.0
le rosa restaurant,3.2,4,hsr,casual dining,north indian,700.0
kebab ganj,3.4,7,koramangala 6th block,delivery,kebab,300.0
the choux box,3.5,11,koramangala 6th block,takeaway,desserts,300.0
nightfork,3.7,126,koramangala 6th block,delivery,chinese,500.0
mysore carnival restaurant,3.8,14,koramangala 6th block,quick bites,chinese,350.0
dash in,3.1,53,btm,casual dining,north indian,600.0
the breakfast truck,3.9,64,koramangala 6th block,quick bites,continental,550.0
ronnie's kitchen,3.1,12,koramangala 5th block,quick bites,chinese,200.0
de street cafe,3.6,61,btm,cafe,cafe,500.0
cafe hush,3.6,22,btm,cafe,cafe,500.0
the tower of pizza,2.9,16,koramangala 5th block,quick bites,pizza,500.0
what the food,3.6,38,btm,quick bites,north indian,250.0
straight from the heart,3.4,5,koramangala 6th block,bakery,bakery,300.0
delightz,4.0,40,koramangala 6th block,dessert parlor,desserts,300.0
martino's,3.6,30,koramangala 1st block,quick bites,italian,350.0
the fresh factor,3.1,14,koramangala 6th block,quick bites,juices,200.0
nv patisserie,3.6,10,koramangala 1st block,takeaway,desserts,350.0
hotel thazooq,3.3,6,koramangala 1st block,quick bites,north indian,350.0
naani'z biryani,3.3,6,koramangala 1st block,quick bites,biryani,300.0
banashankari donne biriyani,3.3,4,koramangala 7th block,quick bites,south indian,300.0
s.w.a.t food truck,3.7,21,koramangala 5th block,quick bites,american,250.0
box of biryani,3.5,9,koramangala 6th block,delivery,biryani,400.0
tandoor-de-naal,3.8,35,btm,takeaway,fast food,200.0
purani dilli,3.2,4,hsr,quick bites,north indian,300.0
tummy delight,3.5,16,btm,quick bites,north indian,400.0
hungry bowl,3.6,51,koramangala 5th block,takeaway,north indian,500.0
niice cream,3.8,38,koramangala 5th block,dessert parlor,ice cream,400.0
new farm fresh,3.6,34,btm,quick bites,italian,650.0
fetchpod cafe,2.9,12,koramangala 6th block,cafe,cafe,500.0
chai mane,3.0,8,koramangala 5th block,quick bites,juices,150.0
big box theory,3.6,11,ejipura,delivery,salad,550.0
parathe wali gali,3.4,36,ejipura,takeaway,north indian,250.0
the sweet spot,4.0,157,koramangala 6th block,dessert parlor,desserts,300.0
ambur hot dum biryani,3.3,8,ejipura,quick bites,biryani,100.0
kaati roll delights,3.2,4,hsr,takeaway,fast food,150.0
la mirch,3.1,6,koramangala 1st block,delivery,north indian,400.0
eat repeat express,3.5,10,koramangala 5th block,delivery,north indian,600.0
two states,3.4,5,btm,quick bites,north indian,250.0
eat well,3.0,34,koramangala 6th block,quick bites,chinese,500.0
ambur hot dum biryani,3.5,21,btm,quick bites,biryani,200.0
dine in restaurant,3.4,7,btm,quick bites,south indian,500.0
big foody's,3.2,4,koramangala 8th block,delivery,north indian,500.0
ambur biriyani point,3.6,26,btm,quick bites,biryani,150.0
ambur biryani,3.2,5,hsr,quick bites,south indian,450.0
amravathi restaurants & caterers,3.1,6,btm,quick bites,north indian,400.0
cakes and moulds,3.6,19,koramangala 1st block,bakery,bakery,300.0
jadoo ka dabba,3.6,20,koramangala 3rd block,delivery,north indian,200.0
tgs retails,3.3,4,hsr,takeaway,bakery,600.0
pockets and bowls,3.3,5,koramangala 3rd block,delivery,continental,500.0
grand chillies,3.4,7,hsr,quick bites,north indian,400.0
kanha's kafe,3.5,12,koramangala 5th block,quick bites,awadhi,200.0
new ambur dum biryani,3.2,7,koramangala 1st block,quick bites,biryani,200.0
brew cafe,3.2,4,btm,quick bites,fast food,300.0
kitchen's sea food restaurant,3.4,9,koramangala 8th block,takeaway,seafood,800.0
frostbite,3.5,15,koramangala 5th block,dessert parlor,desserts,400.0
delly belly,3.2,5,koramangala 6th block,delivery,north indian,400.0
shater grill house,3.5,8,btm,casual dining,north indian,700.0
biryani house,3.2,8,rammurthy nagar,takeaway,biryani,150.0
lets cafe,3.5,6,koramangala 5th block,quick bites,chinese,250.0
mr. meow's hotdogs,3.5,7,koramangala 6th block,food court,fast food,300.0
aaharam,4.0,65,koramangala 1st block,quick bites,chinese,350.0
homfrez.com,3.4,9,koramangala 1st block,delivery,biryani,400.0
malabar mint,3.4,39,koramangala 5th block,casual dining,kerala,700.0
blu dale fast food,3.3,7,ejipura,quick bites,chinese,250.0
victoria terminus,3.4,6,ejipura,quick bites,fast food,250.0
rice and rolls,2.7,61,koramangala 6th block,quick bites,arabian,500.0
holiday fast food,3.4,21,ejipura,quick bites,kerala,350.0
svadu sweets,3.3,5,btm,quick bites,street food,200.0
mongolian kitchen,3.8,30,btm,quick bites,chinese,300.0
hotel marina,2.8,26,koramangala 6th block,quick bites,north indian,400.0
sri lakshmi dhaba,3.1,18,bommanahalli,quick bites,north indian,250.0
nutrition on wheels,2.9,23,btm,takeaway,healthy food,300.0
hotel feast ambur biriyani,3.4,257,koramangala 1st block,quick bites,biryani,250.0
hello resto-pub,4.0,344,old airport road,casual dining,continental,900.0
kerala mess,3.4,19,koramangala 1st block,quick bites,kerala,200.0
peppers,2.8,94,ejipura,quick bites,north indian,300.0
sreeraj lassi bar,4.0,87,btm,beverage shop,beverages,200.0
hotel palace,3.7,24,hsr,quick bites,biryani,250.0
8 slice,3.7,74,koramangala 6th block,delivery,pizza,600.0
the midnight kitchen,3.8,72,koramangala 8th block,delivery,continental,250.0
haji ali juice centre,4.0,152,koramangala 5th block,beverage shop,beverages,350.0
kebarbiq,4.0,138,koramangala 7th block,casual dining,north indian,800.0
desi vdesi,3.8,50,btm,quick bites,fast food,250.0
me and my cake,3.2,4,bommanahalli,takeaway,bakery,500.0
pakiza dilli darbar restaurant,3.2,13,btm,quick bites,biryani,300.0
aroma fine dine,4.0,126,hsr,casual dining,north indian,900.0
just sandwiches,3.6,10,btm,quick bites,sandwich,100.0
lassi pot,3.3,7,hsr,beverage shop,beverages,100.0
juice lounge,3.1,28,btm,beverage shop,beverages,250.0
tandoor nation,3.0,39,btm,quick bites,north indian,400.0
indian kitchen eateries-ike,3.4,8,btm,quick bites,fast food,150.0
al habibi restaurant,3.5,17,btm,quick bites,north indian,300.0
the open cafe,3.7,15,hsr,cafe,cafe,500.0
rimo,3.9,44,koramangala 5th block,quick bites,tibetan,500.0
nature's restaurant,3.3,4,domlur,quick bites,chinese,300.0
#l-81 cafe,3.9,48,hsr,quick bites,fast food,400.0
hungerloft,2.5,109,btm,casual dining,north indian,800.0
halo chef,3.9,145,koramangala 4th block,delivery,north indian,500.0
namaste kitchen,3.8,172,koramangala 5th block,casual dining,north indian,550.0
house of wholewheat,3.1,6,koramangala 1st block,bakery,bakery,200.0
cilantro,4.0,281,koramangala 4th block,casual dining,european,1500.0
hot & cold hut,3.0,46,koramangala 4th block,quick bites,fast food,200.0
new grand restaurant,3.1,11,btm,casual dining,north indian,500.0
tella tales,4.2,414,koramangala 5th block,cafe,cafe,700.0
bullet biryani,3.2,9,btm,takeaway,biryani,300.0
new andhra spice,3.6,22,btm,casual dining,andhra,600.0
kakatiya's,3.1,6,hsr,quick bites,south indian,250.0
guns n roses,3.6,23,ejipura,quick bites,fast food,300.0
hangouts @ kashish caterers,3.4,10,hsr,delivery,biryani,400.0
biryani spot,3.5,9,btm,quick bites,south indian,300.0
bowlful,3.6,12,domlur,takeaway,north indian,500.0
bmr hyderabad biryani,3.6,24,btm,takeaway,biryani,400.0
tangylicious,2.6,16,btm,takeaway,fast food,400.0
dabba karkhana,3.5,17,btm,takeaway,north indian,300.0
hungry birds,3.2,6,koramangala 7th block,delivery,chinese,300.0
insta cafe,2.9,7,btm,cafe,cafe,400.0
zero kelvin,4.3,169,koramangala 4th block,dessert parlor,desserts,450.0
rãâãâãâãâãâãâãâãâªveur chocolates,3.7,13,koramangala 4th block,dessert parlor,desserts,400.0
creme & cheese,3.8,18,koramangala 4th block,takeaway,desserts,850.0
oregano pizzeria,3.7,52,koramangala 4th block,cafe,cafe,450.0
the bier library,4.3,552,koramangala 6th block,microbrewery,continental,2000.0
kurtoskalacs,4.7,262,koramangala 5th block,dessert parlor,desserts,350.0
bonsouth,4.2,2620,koramangala 5th block,casual dining,chettinad,1300.0
eat street,4.2,1531,koramangala 6th block,quick bites,north indian,600.0
zee5 loft,4.4,361,koramangala 6th block,cafe,cafe,500.0
sixth avenue cafe and patisserie,4.4,168,koramangala 5th block,cafe,cafe,600.0
bistro claytopia,4.1,1850,koramangala 1st block,cafe,cafe,600.0
xo belgian waffle,4.5,833,koramangala 5th block,dessert parlor,desserts,400.0
stoner,4.5,2613,koramangala 5th block,dessert parlor,ice cream,500.0
roundup cafe,4.2,494,koramangala 5th block,cafe,cafe,800.0
carrots,4.1,601,koramangala 6th block,casual dining,italian,1100.0
lot like crepes,4.6,1026,koramangala 7th block,cafe,cafe,550.0
tangerine - davanam sarovar portico suites,4.0,152,koramangala 2nd block,casual dining,continental,1100.0
art of delight,4.3,450,koramangala 5th block,dessert parlor,ice cream,400.0
corner house ice cream,4.6,277,koramangala 5th block,dessert parlor,ice cream,400.0
anand sweets and savouries,4.2,1077,koramangala 5th block,sweet shop,mithai,400.0
krem,4.1,61,koramangala 5th block,dessert parlor,desserts,450.0
vegan heat,4.1,314,koramangala 1st block,takeaway,healthy food,650.0
eat.fit,4.5,151,koramangala 5th block,delivery,healthy food,500.0
99 pancakes,4.5,342,koramangala 5th block,dessert parlor,desserts,300.0
berry'd alive,4.3,1901,koramangala 5th block,dessert parlor,desserts,400.0
icebreakers,4.4,491,koramangala 6th block,dessert parlor,desserts,500.0
smally's resto cafe,4.2,1702,koramangala 5th block,cafe,cafe,650.0
natural ice cream,4.5,940,koramangala 1st block,dessert parlor,ice cream,200.0
polar bear,4.2,195,koramangala 6th block,dessert parlor,ice cream,400.0
smoor,4.2,600,koramangala 7th block,dessert parlor,desserts,900.0
frozen bottle,4.1,241,koramangala 5th block,beverage shop,beverages,400.0
belgyum,4.0,70,koramangala 7th block,dessert parlor,desserts,400.0
the marash,4.3,67,koramangala 5th block,dessert parlor,turkish,250.0
belgian waffle factory,4.8,187,koramangala 5th block,dessert parlor,desserts,400.0
fresh pressery cafe,4.1,138,koramangala 5th block,cafe,cafe,1200.0
cream stone,4.2,340,koramangala 5th block,dessert parlor,desserts,500.0
the belgian waffle co.,4.2,178,koramangala 5th block,dessert parlor,desserts,350.0
brownie heaven,3.9,18,koramangala 5th block,dessert parlor,desserts,300.0
banchharam,3.9,140,koramangala 7th block,quick bites,street food,200.0
aubree le chocolatier,3.5,16,koramangala 6th block,dessert parlor,desserts,300.0
baskin robbins,4.1,77,koramangala 7th block,dessert parlor,ice cream,250.0
cream chemistry,4.0,231,koramangala 5th block,dessert parlor,ice cream,500.0
trigereato,4.4,102,koramangala 8th block,cafe,cafe,700.0
pabrai's fresh & naturelle icecreams,3.9,128,koramangala 5th block,dessert parlor,ice cream,200.0
assi tussi lassi,3.7,25,ejipura,beverage shop,beverages,200.0
just bake,3.8,123,koramangala 5th block,bakery,bakery,400.0
sweet chariot,4.0,186,koramangala 7th block,bakery,bakery,500.0
om sweets & snacks,3.9,34,koramangala 5th block,sweet shop,mithai,150.0
frolic,3.9,33,koramangala 7th block,dessert parlor,juices,200.0
krispy kreme,4.2,448,koramangala 7th block,dessert parlor,desserts,300.0
maxpresso,4.1,324,koramangala 7th block,cafe,cafe,700.0
haagen dazs,3.9,79,koramangala 7th block,dessert parlor,ice cream,800.0
cookie man,4.0,100,koramangala 7th block,dessert parlor,bakery,150.0
haji ali juice centre,4.0,152,koramangala 5th block,beverage shop,beverages,350.0
lassi shop,4.0,210,koramangala 5th block,beverage shop,beverages,200.0
juicy,3.9,43,koramangala 5th block,beverage shop,beverages,200.0
the french loaf,3.8,34,koramangala 5th block,bakery,bakery,400.0
lakeview milkbar,3.8,289,koramangala 8th block,dessert parlor,desserts,500.0
sangam sweets,3.8,75,koramangala 3rd block,sweet shop,mithai,200.0
kanti sweets,3.9,68,koramangala 3rd block,sweet shop,mithai,400.0
cake box,3.5,98,koramangala 8th block,bakery,bakery,400.0
iyengar's bakery,3.5,11,koramangala 6th block,bakery,bakery,200.0
bansuri sweets,3.7,73,koramangala 6th block,sweet shop,mithai,250.0
wafl co,4.2,53,koramangala 5th block,dessert parlor,desserts,400.0
the kream story,4.1,37,koramangala 7th block,dessert parlor,desserts,500.0
chef baker's,3.6,37,koramangala 1st block,bakery,bakery,450.0
lassi corner,3.5,16,koramangala 5th block,beverage shop,beverages,300.0
the chocolate room,3.8,63,koramangala 7th block,cafe,cafe,600.0
mad over donuts,4.2,703,koramangala 7th block,dessert parlor,bakery,450.0
cakes & candles,3.1,11,koramangala 5th block,bakery,bakery,300.0
stoned monkey,4.1,511,koramangala 6th block,dessert parlor,desserts,500.0
the donut baker,3.8,62,koramangala 7th block,bakery,desserts,150.0
gelato italiano,3.9,110,koramangala 5th block,dessert parlor,ice cream,200.0
kulfi & more,3.5,7,koramangala 1st block,dessert parlor,ice cream,200.0
ifruit live ice creams,3.4,10,koramangala 1st block,dessert parlor,ice cream,300.0
karachi bakery,3.4,7,koramangala 5th block,bakery,bakery,400.0
desserts tree,3.8,86,koramangala 1st block,sweet shop,mithai,100.0
the waffles hut,3.8,23,koramangala 5th block,dessert parlor,desserts,400.0
black deer,4.4,149,koramangala 5th block,takeaway,beverages,350.0
warm oven,3.9,28,koramangala 7th block,bakery,bakery,500.0
uday sweets,3.5,33,koramangala 6th block,sweet shop,mithai,250.0
cafe on the way,4.0,275,koramangala 3rd block,cafe,cafe,500.0
bombay kulfis,3.9,28,koramangala 5th block,dessert parlor,ice cream,200.0
me and my cake,3.3,5,koramangala 7th block,takeaway,bakery,500.0
apsara ice cream,4.0,128,koramangala 5th block,dessert parlor,ice cream,200.0
arafa juice center,3.5,10,koramangala 5th block,quick bites,juices,250.0
shree mithai,3.3,9,koramangala 7th block,quick bites,desserts,150.0
the choux box,3.5,11,koramangala 6th block,takeaway,desserts,300.0
straight from the heart,3.4,5,koramangala 6th block,bakery,bakery,300.0
delightz,4.0,40,koramangala 6th block,dessert parlor,desserts,300.0
niice cream,3.8,38,koramangala 5th block,dessert parlor,ice cream,400.0
fetchpod cafe,2.9,12,koramangala 6th block,cafe,cafe,500.0
the sweet spot,4.0,157,koramangala 6th block,dessert parlor,desserts,300.0
sweet truth,4.1,23,koramangala 6th block,delivery,bakery,500.0
indulge by innerchef,3.5,29,koramangala 7th block,bakery,desserts,400.0
house of wholewheat,3.1,6,koramangala 1st block,bakery,bakery,200.0
cakes and moulds,3.6,19,koramangala 1st block,bakery,bakery,300.0
frostbite,3.5,15,koramangala 5th block,dessert parlor,desserts,400.0
gowri sweets,3.3,4,koramangala 8th block,sweet shop,mithai,300.0
amrutha sweets,3.5,13,ejipura,quick bites,street food,200.0
cream n desserts,3.7,49,koramangala 7th block,dessert parlor,desserts,400.0
cake yard,2.9,30,koramangala 7th block,dessert parlor,desserts,250.0
bakingo,4.0,76,koramangala 1st block,bakery,bakery,500.0
calvin's,3.8,433,koramangala 5th block,dessert parlor,desserts,800.0
amma's pastries,4.1,148,hsr,dessert parlor,bakery,400.0
gogula's sweets & chats,4.0,206,btm,sweet shop,mithai,200.0
the ganache factory,4.1,41,domlur,dessert parlor,desserts,400.0
bubble bee,3.9,48,hsr,dessert parlor,beverages,400.0
sreeraj lassi bar,4.0,87,btm,beverage shop,beverages,200.0
kwality cakes n bakes,3.7,92,hsr,bakery,bakery,350.0
call a cake,3.6,41,btm,delivery,bakery,500.0
new surya sweets & snacks,3.5,7,btm,sweet shop,mithai,300.0
popular bakery,3.7,36,hsr,dessert parlor,desserts,600.0
jodhpur sweets & corner,3.7,21,btm,dessert parlor,desserts,200.0
kc das - sweet corner,2.9,47,hsr,sweet shop,mithai,200.0
food theory,2.7,56,hsr,delivery,biryani,500.0
french bakery,3.3,7,btm,delivery,desserts,250.0
56 bhoga sweets,3.6,51,hsr,takeaway,mithai,150.0
jigarthanda,3.6,11,btm,quick bites,fast food,200.0
intriicake,3.8,34,hsr,quick bites,bakery,350.0
rp sweets,3.4,9,btm,sweet shop,mithai,300.0
krumbkraft,3.5,5,domlur,bakery,bakery,300.0
fudgy love designer cakes,3.7,20,domlur,bakery,bakery,600.0
cafe velvette,3.5,11,domlur,cafe,cafe,400.0
cafe coffee day,3.1,13,sarjapur road,cafe,cafe,900.0
the duke of juices,2.8,5,hsr,quick bites,juices,200.0
tgs retails,3.3,4,hsr,takeaway,bakery,600.0
new surya sweets & snacks,3.2,5,btm,sweet shop,mithai,350.0
kulfisthan,3.5,7,hsr,dessert parlor,ice cream,150.0
juice shop,3.7,16,hsr,takeaway,juices,150.0
nasi and mee,4.4,2395,koramangala 4th block,casual dining,malaysian,1000.0
the fixx,4.3,216,koramangala 4th block,casual dining,continental,1200.0
biergarten,4.8,460,koramangala 5th block,pub,continental,2100.0
the hole in the wall cafe,4.6,7120,koramangala 4th block,cafe,cafe,600.0
prost brew pub,4.5,7854,koramangala 4th block,pub,american,1800.0
onesta,4.4,9080,koramangala 4th block,casual dining,pizza,600.0
the terrace at gilly's redefined,4.6,886,koramangala 4th block,microbrewery,continental,1400.0
myu bar at gilly's redefined,4.5,1228,koramangala 4th block,microbrewery,american,1200.0
third wave coffee roasters,4.4,1224,koramangala 4th block,cafe,cafe,800.0
sotally tober,4.4,4079,koramangala 4th block,bar,asian,1200.0
1522 - the pub,4.2,1741,koramangala 4th block,pub,chinese,1400.0
pasta street,4.5,256,koramangala 4th block,casual dining,italian,1300.0
the beer cafe,4.2,1175,koramangala 4th block,pub,finger food,1300.0
dialogues,4.1,314,koramangala 4th block,cafe,cafe,600.0
hanoi - vietnamese cuisine,4.4,1808,koramangala 4th block,casual dining,vietnamese,1000.0
pot-o-noodles,4.3,164,koramangala 4th block,casual dining,chinese,800.0
stoked!,4.3,294,koramangala 4th block,cafe,cafe,850.0
anjappar,3.9,1160,koramangala 4th block,casual dining,chettinad,650.0
via milano,4.2,1624,koramangala 4th block,casual dining,salad,1500.0
oldtown dilli,4.1,258,koramangala 4th block,casual dining,mughlai,750.0
nandhana palace,4.1,807,koramangala 4th block,casual dining,andhra,800.0
enerjuvate studio & cafe,4.4,466,koramangala 4th block,cafe,cafe,800.0
attic lounge,4.0,1238,koramangala 4th block,cafe,cafe,700.0
banjara melting pot,4.2,767,koramangala 4th block,casual dining,north indian,1700.0
pipabu,3.8,75,koramangala 4th block,casual dining,continental,750.0
pagalkhana,3.9,144,koramangala 4th block,casual dining,continental,1000.0
qube cafe,4.2,169,koramangala 4th block,cafe,cafe,700.0
swathi maharaja,3.7,291,koramangala 4th block,casual dining,andhra,750.0
terra bites,4.1,65,koramangala 4th block,cafe,cafe,700.0
cilantro,4.0,281,koramangala 4th block,casual dining,european,1500.0
sutra spice-the resto bar,3.9,34,koramangala 4th block,bar,south indian,1000.0
the rendezvous,3.7,483,koramangala 4th block,casual dining,continental,800.0
fill n chill resto bar & pub,3.9,597,koramangala 4th block,bar,finger food,1200.0
the arabesque cafe,4.1,100,koramangala 4th block,casual dining,american,600.0
smise,4.0,1209,koramangala 4th block,cafe,cafe,650.0
fandom at gilly's redefined,3.9,105,koramangala 4th block,bar,finger food,1500.0
cafe coffee day the lounge,3.6,76,koramangala 4th block,cafe,cafe,650.0
delicacy,3.9,523,koramangala 4th block,casual dining,chinese,500.0
hungry travellers cafe,3.8,27,koramangala 4th block,cafe,cafe,450.0
mast kalandar,2.5,547,koramangala 4th block,casual dining,north indian,450.0
barcode,3.8,169,koramangala 4th block,bar,south indian,1300.0
helloo delhi,4.1,221,koramangala 4th block,casual dining,north indian,1000.0
paratha plaza,3.9,220,koramangala 4th block,quick bites,north indian,250.0
vasudev adiga's,2.8,289,koramangala 4th block,casual dining,south indian,250.0
silsila,2.7,47,koramangala 4th block,casual dining,north indian,800.0
g resto cafe,3.3,4,koramangala 4th block,cafe,cafe,400.0
h3o,3.3,4,koramangala 4th block,bar,north indian,1000.0
cafãâãâãâãâãâãâãâãâ© s,3.2,4,koramangala 4th block,cafe,cafe,600.0
