age,education,hours-per-week,native-country,salary
26, Some-college,35, United-States, <=50K
72, HS-grad,20, United-States, <=50K
23, HS-grad,40, Poland, <=50K
62, HS-grad,40, United-States, <=50K
52, Some-college,40, United-States, <=50K
58, Some-college,42, France, <=50K
25, Bachelors,40, United-States, <=50K
24, Bachelors,40, United-States, <=50K
19, Some-college,8, United-States, <=50K
43, Some-college,40, United-States, <=50K
47, HS-grad,40, United-States, <=50K
39, HS-grad,40, United-States, <=50K
49, Assoc-voc,42, United-States, <=50K
53, 5th-6th,30, United-States, <=50K
32, Assoc-voc,45, United-States, <=50K
34, Some-college,50, United-States, >50K
28, HS-grad,45, United-States, <=50K
57, Assoc-voc,38, United-States, <=50K
25, Some-college,20, United-States, <=50K
20, Some-college,24, United-States, <=50K
21, Some-college,35, United-States, <=50K
34, Bachelors,50, United-States, >50K
38, Bachelors,80, United-States, >50K
50, HS-grad,50, United-States, >50K
24, Some-college,50, United-States, <=50K
37, Some-college,45, United-States, >50K
44, Some-college,58, United-States, >50K
28, Some-college,40, United-States, <=50K
42, Bachelors,40, United-States, >50K
74, Some-college,9, United-States, <=50K
38, HS-grad,50, United-States, <=50K
44, Masters,40, United-States, <=50K
44, 11th,46, Puerto-Rico, <=50K
26, HS-grad,40, United-States, <=50K
36, HS-grad,40, United-States, <=50K
41, Assoc-acdm,50, United-States, >50K
67, Prof-school,48, United-States, >50K
39, 12th,50, United-States, <=50K
57, 1st-4th,30, United-States, <=50K
29, Assoc-voc,40, United-States, <=50K
31, Bachelors,45, United-States, <=50K
34, HS-grad,40, United-States, <=50K
44, Some-college,40, United-States, <=50K
29, Doctorate,40, United-States, <=50K
30, Some-college,40, United-States, <=50K
27, HS-grad,40, United-States, <=50K
27, Some-college,50, United-States, <=50K
32, HS-grad,45, United-States, <=50K
58, 10th,8, United-States, <=50K
35, Some-college,40, United-States, <=50K
21, HS-grad,36, United-States, <=50K
28, Some-college,40, United-States, <=50K
46, Some-college,50, United-States, <=50K
36, HS-grad,40, United-States, <=50K
72, 11th,40, United-States, <=50K
35, HS-grad,40, United-States, <=50K
33, Assoc-voc,40, United-States, >50K
69, 11th,40, United-States, <=50K
35, HS-grad,40, United-States, <=50K
31, HS-grad,20, ?, <=50K
34, HS-grad,32, United-States, <=50K
30, 11th,40, Mexico, <=50K
28, Bachelors,55, United-States, <=50K
54, Bachelors,35, United-States, >50K
47, Some-college,50, United-States, >50K
24, HS-grad,40, United-States, <=50K
52, Bachelors,60, United-States, >50K
20, HS-grad,48, United-States, <=50K
43, Masters,45, United-States, <=50K
45, 7th-8th,40, Mexico, <=50K
29, HS-grad,35, United-States, <=50K
47, Masters,42, United-States, <=50K
24, HS-grad,40, United-States, <=50K
51, HS-grad,40, United-States, <=50K
17, 11th,12, United-States, <=50K
37, Assoc-voc,40, United-States, >50K
27, Doctorate,70, United-States, <=50K
29, Bachelors,40, United-States, >50K
18, 12th,25, United-States, <=50K
36, Assoc-acdm,35, United-States, <=50K
58, Bachelors,40, United-States, <=50K
26, Some-college,45, United-States, <=50K
65, Some-college,30, United-States, >50K
57, HS-grad,40, United-States, >50K
59, HS-grad,40, United-States, <=50K
27, HS-grad,40, United-States, <=50K
31, Bachelors,40, United-States, <=50K
21, Some-college,24, United-States, <=50K
29, Some-college,60, United-States, <=50K
18, 11th,40, United-States, <=50K
52, 10th,47, United-States, >50K
57, Bachelors,80, United-States, <=50K
42, HS-grad,40, United-States, <=50K
55, HS-grad,40, United-States, <=50K
60, 7th-8th,48, United-States, >50K
31, Bachelors,40, Canada, >50K
23, Bachelors,40, United-States, <=50K
27, HS-grad,40, United-States, <=50K
23, Some-college,25, United-States, <=50K
42, Prof-school,50, United-States, >50K
25, Some-college,40, United-States, <=50K
49, Bachelors,45, United-States, <=50K
32, Bachelors,40, United-States, <=50K
19, Some-college,28, United-States, <=50K
60, 7th-8th,40, United-States, <=50K
42, 9th,40, United-States, <=50K
35, Assoc-acdm,40, United-States, <=50K
48, HS-grad,37, United-States, <=50K
51, Masters,40, United-States, >50K
29, HS-grad,40, United-States, <=50K
36, HS-grad,40, United-States, <=50K
17, 10th,21, United-States, <=50K
52, Masters,60, United-States, <=50K
24, HS-grad,40, United-States, <=50K
24, HS-grad,50, United-States, <=50K
26, Bachelors,40, United-States, <=50K
27, Bachelors,20, United-States, <=50K
39, HS-grad,60, United-States, <=50K
30, HS-grad,45, United-States, <=50K
50, HS-grad,32, United-States, <=50K
52, Bachelors,55, United-States, <=50K
46, Prof-school,45, United-States, >50K
23, Bachelors,20, United-States, <=50K
45, 11th,20, United-States, <=50K
65, 9th,24, United-States, <=50K
29, Assoc-voc,55, United-States, <=50K
47, 9th,40, El-Salvador, <=50K
30, HS-grad,60, United-States, <=50K
34, HS-grad,45, United-States, >50K
38, HS-grad,64, United-States, <=50K
33, Some-college,40, United-States, >50K
49, Bachelors,26, United-States, >50K
47, Some-college,40, United-States, <=50K
49, 10th,40, United-States, <=50K
43, Some-college,60, United-States, >50K
30, Bachelors,40, United-States, >50K
58, HS-grad,60, United-States, <=50K
19, HS-grad,14, United-States, <=50K
21, Bachelors,40, United-States, <=50K
33, Bachelors,60, United-States, >50K
47, 5th-6th,50, Cuba, <=50K
52, Doctorate,60, United-States, >50K
26, HS-grad,55, United-States, <=50K
60, HS-grad,40, United-States, <=50K
21, Some-college,40, United-States, <=50K
36, Some-college,50, United-States, >50K
31, Some-college,45, United-States, <=50K
50, Doctorate,40, United-States, >50K
31, HS-grad,40, United-States, <=50K
71, HS-grad,15, United-States, <=50K
58, HS-grad,50, United-States, <=50K
30, Bachelors,40, United-States, >50K
20, Some-college,20, United-States, <=50K
24, HS-grad,50, United-States, <=50K
35, Doctorate,40, Taiwan, >50K
38, Some-college,45, United-States, <=50K
27, HS-grad,32, United-States, <=50K
29, Some-college,40, Philippines, <=50K
70, 9th,15, United-States, <=50K
34, HS-grad,45, United-States, <=50K
44, 7th-8th,35, United-States, <=50K
43, HS-grad,40, United-States, >50K
44, 12th,40, United-States, >50K
35, Masters,60, United-States, <=50K
27, Some-college,40, United-States, <=50K
43, Masters,38, United-States, <=50K
20, Some-college,25, United-States, <=50K
42, Assoc-acdm,40, United-States, >50K
27, Some-college,40, United-States, <=50K
42, HS-grad,40, United-States, >50K
20, 11th,40, South, <=50K
24, 9th,40, United-States, <=50K
48, Some-college,40, United-States, <=50K
17, 11th,20, United-States, <=50K
17, 11th,10, United-States, <=50K
33, Bachelors,40, United-States, >50K
50, HS-grad,50, United-States, >50K
22, HS-grad,40, United-States, <=50K
17, 12th,16, United-States, <=50K
32, Some-college,40, Mexico, <=50K
31, HS-grad,45, United-States, <=50K
58, HS-grad,50, United-States, <=50K
29, HS-grad,48, United-States, <=50K
37, Assoc-voc,40, Portugal, >50K
34, HS-grad,40, United-States, >50K
23, Some-college,40, United-States, <=50K
18, 11th,5, United-States, <=50K
34, HS-grad,40, United-States, <=50K
66, 7th-8th,4, United-States, <=50K
45, Bachelors,55, United-States, <=50K
41, Masters,35, Dominican-Republic, <=50K
26, HS-grad,30, United-States, <=50K
54, Some-college,40, United-States, <=50K
24, Some-college,45, United-States, <=50K
42, Some-college,50, United-States, <=50K
20, Some-college,20, United-States, <=50K
23, Bachelors,20, United-States, <=50K
25, Assoc-acdm,45, United-States, <=50K
35, Masters,60, United-States, >50K
31, Masters,40, United-States, >50K
30, Bachelors,40, Poland, <=50K
19, HS-grad,20, United-States, <=50K
36, Bachelors,50, United-States, <=50K
31, Bachelors,40, Cuba, <=50K
21, Some-college,30, United-States, <=50K
31, Some-college,40, United-States, <=50K
46, Doctorate,65, United-States, >50K
44, Bachelors,50, United-States, >50K
40, 12th,40, Jamaica, <=50K
45, Some-college,40, United-States, <=50K
60, HS-grad,35, United-States, <=50K
18, 11th,25, United-States, <=50K
28, Bachelors,40, United-States, <=50K
36, Some-college,40, United-States, <=50K
36, Bachelors,40, ?, <=50K
40, Assoc-voc,40, United-States, <=50K
36, Bachelors,35, Honduras, <=50K
31, HS-grad,40, United-States, <=50K
33, HS-grad,40, United-States, <=50K
19, HS-grad,40, United-States, <=50K
22, Some-college,15, United-States, <=50K
34, Bachelors,45, United-States, >50K
33, HS-grad,40, United-States, <=50K
41, HS-grad,60, United-States, <=50K
29, Bachelors,40, United-States, <=50K
50, HS-grad,42, United-States, >50K
42, Bachelors,45, United-States, >50K
43, Bachelors,40, ?, >50K
44, HS-grad,40, United-States, <=50K
20, Some-college,20, United-States, <=50K
31, HS-grad,40, Mexico, <=50K
65, 11th,59, ?, >50K
23, Some-college,24, United-States, <=50K
55, Some-college,40, United-States, <=50K
26, Assoc-voc,45, United-States, <=50K
25, Assoc-voc,15, United-States, <=50K
45, Some-college,40, United-States, <=50K
35, Some-college,40, United-States, <=50K
36, Some-college,36, United-States, <=50K
43, Bachelors,50, United-States, <=50K
56, HS-grad,20, United-States, <=50K
42, Bachelors,40, United-States, >50K
19, Some-college,25, United-States, <=50K
55, HS-grad,72, United-States, <=50K
42, Masters,50, United-States, >50K
26, Assoc-voc,40, United-States, <=50K
17, 12th,20, United-States, <=50K
42, Bachelors,40, United-States, >50K
55, HS-grad,40, United-States, >50K
32, Some-college,40, United-States, <=50K
29, 11th,40, Haiti, <=50K
46, Bachelors,37, United-States, <=50K
29, Bachelors,40, United-States, >50K
22, Bachelors,20, United-States, <=50K
