LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,SellingDate,BuildingDate,RemodAddDate
0.0,8544,5,6,0.0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,149350,2008-01-06,1966-01-08,2006-01-03
85.0,11049,8,5,0.0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,179900,2008-01-01,2007-01-08,2007-01-08
70.0,10552,5,5,0.0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,165500,2010-01-04,1959-01-09,1959-01-09
60.0,7313,9,5,246.0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,277500,2007-01-08,2005-01-09,2005-01-09
108.0,13418,8,5,132.0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,309000,2006-01-09,2004-01-04,2005-01-01
112.0,10859,5,5,0.0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,145000,2009-01-06,1994-01-12,1995-01-09
74.0,8532,5,6,650.0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,153000,2009-01-10,1954-01-11,1990-01-07
68.0,7922,5,7,0.0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,109000,2010-01-01,1953-01-06,2007-01-03
65.0,6040,4,5,0.0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,82000,2008-01-06,1955-01-11,1955-01-11
84.0,8658,6,5,101.0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,160000,2006-01-12,1965-01-03,1965-01-03
115.0,16905,5,6,0.0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,170000,2007-01-07,1959-01-07,1959-01-07
0.0,9180,5,7,0.0,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,144000,2007-01-12,1983-01-05,1983-01-05
0.0,9200,5,6,0.0,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,130250,2008-01-07,1975-01-01,1980-01-09
70.0,7945,5,6,0.0,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,141000,2006-01-05,1959-01-10,1959-01-10
61.0,7658,9,5,412.0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,319900,2010-01-02,2005-01-05,2005-01-05
48.0,12822,7,5,0.0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,239686,2009-01-08,2003-01-02,2003-01-02
84.0,11096,8,5,0.0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,249700,2007-01-07,2006-01-09,2006-01-09
33.0,4456,4,5,0.0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,113000,2009-01-06,1920-01-03,2008-01-02
66.0,7742,5,7,0.0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,127000,2007-01-01,1966-01-02,1966-01-02
0.0,13869,6,6,0.0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,177000,2007-01-07,1997-01-04,1997-01-04
52.0,6240,6,6,0.0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,114500,2006-01-09,1934-01-03,1950-01-02
110.0,8472,5,5,0.0,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,110000,2010-01-05,1963-01-01,1963-01-01
68.0,50271,9,5,0.0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,385000,2006-01-11,1981-01-05,1987-01-02
60.0,7134,5,5,0.0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,130000,2007-01-02,1955-01-02,1955-01-02
100.0,10175,6,5,272.0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,180500,2008-01-07,1964-01-08,1964-01-08
24.0,2645,8,5,456.0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,172500,2009-01-08,1999-01-03,2000-01-03
89.0,11645,7,5,0.0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,196500,2006-01-08,2004-01-02,2004-01-02
66.0,13682,10,5,1031.0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,438780,2006-01-10,2006-01-07,2006-01-07
60.0,7200,5,7,0.0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,124900,2008-01-01,1972-01-07,1972-01-07
63.0,13072,6,5,0.0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,158000,2006-01-05,2004-01-06,2004-01-06
60.0,7200,5,7,0.0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,101000,2007-01-03,1920-01-07,1996-01-05
44.0,6442,8,5,178.0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,202500,2007-01-10,2006-01-06,2006-01-06
50.0,10300,7,6,0.0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,140000,2010-01-04,1921-01-07,1950-01-08
0.0,9375,7,5,573.0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,219500,2009-01-02,1997-01-05,1998-01-09
76.0,9591,8,5,344.0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,317000,2007-01-10,2004-01-09,2005-01-08
0.0,19900,7,5,287.0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,180000,2010-01-07,1970-01-04,1989-01-07
72.0,10665,7,5,167.0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,226000,2007-01-06,2003-01-05,2003-01-05
47.0,4608,4,6,0.0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,80000,2010-01-06,1945-01-03,1950-01-01
81.0,15593,7,4,0.0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,225000,2006-01-07,1953-01-11,1953-01-11
95.0,13651,7,6,1115.0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,244000,2007-01-02,1973-01-11,1973-01-11
69.0,7599,4,6,0.0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,129500,2007-01-06,1982-01-08,2006-01-02
74.0,10141,7,5,40.0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,185000,2009-01-12,1998-01-03,1998-01-03
85.0,10200,5,7,104.0,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,144900,2010-01-05,1954-01-07,2003-01-09
60.0,5790,3,6,0.0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1,379,0,0,202,0,0,0,0,107400,2010-01-05,1915-01-07,1950-01-06
21.0,1596,4,5,0.0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1,297,120,101,0,0,0,0,0,91000,2009-01-11,1973-01-04,1973-01-04
0.0,8475,4,7,0.0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1,283,0,0,0,0,0,0,0,135750,2008-01-04,1956-01-05,1956-01-05
50.0,8635,5,5,0.0,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1,240,0,0,0,0,0,0,0,127000,2008-01-01,1948-01-04,2001-01-10
72.0,10778,4,5,0.0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,0,136500,2010-01-04,1968-01-12,1968-01-12
60.0,10440,5,6,0.0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,2,440,74,0,128,0,0,0,0,110000,2009-01-05,1910-01-10,1981-01-07
100.0,13000,6,6,576.0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1,509,0,72,0,0,252,0,0,193500,2009-01-06,1968-01-08,1968-01-08
32.0,4500,6,5,443.0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,2,405,0,199,0,0,0,0,0,153500,2006-01-03,1998-01-09,1998-01-09
78.0,10206,8,5,468.0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,3,758,144,99,0,0,0,0,0,245000,2008-01-10,2007-01-01,2007-01-01
80.0,8892,5,5,66.0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,2,461,74,0,0,0,0,0,0,126500,2007-01-07,1960-01-08,1960-01-08
0.0,8530,7,5,22.0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,0,700,168500,2009-01-05,1995-01-01,1996-01-08
121.0,16059,8,5,284.0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,2,462,127,82,0,0,0,0,0,260000,2006-01-04,1991-01-10,1992-01-10
122.0,11911,6,5,0.0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2,400,100,38,0,0,0,0,0,174000,2009-01-03,2005-01-01,2005-01-01
40.0,3951,6,5,76.0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,164500,2009-01-06,2009-01-01,2009-01-01
105.0,8470,3,2,0.0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,85000,2009-01-10,1915-01-11,1982-01-10
60.0,8070,4,5,0.0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,123600,2007-01-08,1994-01-02,1995-01-01
60.0,7200,4,5,0.0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,2,420,0,29,0,0,0,0,0,109900,2006-01-07,1950-01-01,1950-01-01
85.0,8500,5,3,203.0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,98600,2006-01-12,1961-01-11,1961-01-11
80.0,13360,5,7,0.0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,163500,2009-01-08,1921-01-02,2006-01-02
60.0,7200,6,6,0.0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,133900,2007-01-11,1910-01-10,1998-01-06
69.0,9337,6,5,0.0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,2,684,0,162,0,0,0,0,0,204750,2007-01-05,1997-01-04,1997-01-04
0.0,9765,6,8,68.0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,2,420,232,63,0,0,0,0,480,185000,2009-01-04,1993-01-07,1993-01-07
78.0,10264,7,5,183.0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,2,472,158,29,0,0,0,0,0,214000,2006-01-08,1999-01-06,1999-01-06
73.0,10921,4,5,48.0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1,432,120,0,0,0,0,0,0,94750,2007-01-05,1965-01-07,1965-01-07
85.0,10625,5,5,0.0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1,366,0,0,77,0,0,0,400,83000,2010-01-05,1920-01-07,1950-01-02
77.0,9320,4,5,0.0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,128950,2010-01-01,1959-01-12,1959-01-12
0.0,10603,6,7,28.0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,205000,2010-01-02,1977-01-02,2001-01-05
77.0,9206,6,5,336.0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,178000,2010-01-06,1985-01-11,1985-01-11
64.0,7018,5,5,0.0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,2,410,0,0,0,0,0,0,0,118964,2009-01-06,1979-01-08,1979-01-08
94.0,10402,7,5,0.0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,198900,2010-01-05,2009-01-02,2009-01-02
0.0,7758,7,4,600.0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1,240,0,0,0,0,184,0,0,169500,2007-01-06,1931-01-07,1950-01-07
75.0,9375,8,5,768.0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,250000,2008-01-08,2003-01-12,2004-01-01
60.0,10800,4,7,0.0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,100000,2007-01-08,1885-10-01,1995-01-02
50.0,6000,5,5,0.0,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1,250,0,0,0,0,0,0,0,115000,2008-01-04,1948-01-01,1950-01-10
85.0,8500,5,7,0.0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,0,0,144,0,0,0,0,115000,2007-01-08,1919-01-06,2005-01-03
105.0,11751,6,6,480.0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,190000,2010-01-01,1977-01-10,1977-01-10
75.0,9525,6,4,0.0,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1,325,182,0,0,0,0,0,0,136900,2006-01-10,1954-01-09,1972-01-09
0.0,7750,7,5,0.0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,180000,2010-01-04,2000-01-07,2000-01-07
77.0,9965,7,5,220.0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,383970,2007-01-10,2007-01-08,2007-01-08
0.0,21000,6,5,184.0,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2,450,166,120,192,0,0,0,0,217000,2007-01-10,1953-01-11,1953-01-11
61.0,7259,6,8,0.0,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1,180,224,0,0,0,0,0,0,259500,2007-01-07,1945-01-03,2002-01-11
34.0,3230,6,5,1129.0,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,2,440,0,32,0,0,0,0,0,176000,2007-01-06,1999-01-05,1999-01-05
0.0,11616,5,5,116.0,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,139000,2009-01-09,1962-01-09,1962-01-09
90.0,12376,7,5,0.0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,320000,2010-01-05,1990-01-01,1990-01-01
65.0,8461,6,5,0.0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,390,0,24,0,0,0,0,0,163990,2006-01-07,2005-01-09,2006-01-03
0.0,21453,6,5,0.0,0,938,988,0,0,988,1,0,1,0,1,1,4,2,2,540,0,130,0,130,0,0,0,180000,2006-01-10,1969-01-02,1969-01-02
50.0,6060,4,5,0.0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1,264,0,0,140,0,0,0,0,100000,2007-01-06,1939-01-07,1950-01-02
75.0,9464,6,7,135.0,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1,288,0,0,0,0,130,0,0,136000,2008-01-06,1958-01-04,1958-01-04
55.0,7892,6,5,0.0,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,2,530,0,63,0,0,0,0,0,153900,2008-01-03,1993-01-11,1993-01-11
48.0,17043,6,5,0.0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,181000,2009-01-01,1979-01-05,1998-01-06
60.0,6780,6,8,0.0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0,0,53,0,0,0,0,0,0,84500,2006-01-06,1935-01-03,1982-01-02
0.0,4928,6,5,0.0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,2,440,0,205,0,0,0,0,0,128000,2007-01-02,1976-01-03,1976-01-03
55.0,4388,5,7,0.0,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,87000,2007-01-06,1930-01-04,1950-01-03
69.0,7590,6,5,266.0,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,2,453,188,108,0,0,0,0,0,155000,2006-01-07,1966-01-08,1966-01-08
69.0,8973,5,7,85.0,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,2,750,0,80,0,180,0,0,0,150000,2006-01-07,1958-01-01,1991-01-02
88.0,14200,7,6,309.0,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,2,487,105,66,0,0,0,0,0,226000,2006-01-05,1966-01-07,1966-01-07
0.0,12224,6,5,40.0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2,390,24,48,0,0,0,0,0,244000,2009-01-07,2000-01-09,2000-01-09
75.0,7388,5,6,0.0,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,2,624,0,0,0,0,0,0,0,150750,2007-01-07,1959-01-10,2002-01-12
0.0,6853,8,5,136.0,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2,471,192,25,0,0,0,0,0,220000,2009-01-06,2001-01-06,2002-01-09
78.0,10335,5,6,0.0,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,2,440,0,96,180,0,0,0,0,180000,2006-01-07,1968-01-02,1993-01-06
80.0,10400,7,6,288.0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,2,530,98,0,0,0,0,0,0,174000,2008-01-05,1970-01-04,1970-01-04
0.0,10355,5,5,196.0,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1,318,0,111,0,0,0,0,0,143000,2007-01-07,1967-01-06,1967-01-06
82.0,11070,7,5,70.0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,3,766,0,0,0,0,0,0,0,171000,2006-01-07,1988-01-04,1989-01-05
73.0,9066,8,5,320.0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,3,660,224,106,0,0,0,0,0,230000,2008-01-12,1999-01-12,2000-01-10
65.0,15426,6,5,0.0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,231500,2009-01-08,1997-01-05,1997-01-05
70.0,10500,4,5,0.0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,115000,2010-01-04,1971-01-08,1971-01-08
78.0,11645,7,5,0.0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,260000,2006-01-01,2005-01-05,2005-01-05
71.0,8520,5,4,0.0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2,720,0,0,0,0,0,0,0,166000,2010-01-06,1952-01-06,1952-01-06
78.0,10335,7,5,183.0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,204000,2009-01-06,1999-01-10,1999-01-10
70.0,9100,5,5,336.0,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,2,504,0,0,0,0,0,0,0,125000,2006-01-11,1963-01-10,1963-01-10
51.0,6120,5,7,0.0,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1,180,48,0,0,0,0,0,0,105000,2009-01-11,1931-01-08,1993-01-08
0.0,9505,7,5,180.0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,222500,2010-01-05,2001-01-12,2001-01-12
63.0,7500,7,5,120.0,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,141000,2008-01-04,2004-01-04,2005-01-04
0.0,6240,5,4,0.0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1,240,200,114,0,0,0,0,0,115000,2006-01-04,1936-01-10,1950-01-10
120.0,10356,5,6,0.0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,2,440,0,0,0,0,0,0,0,122000,2007-01-01,1975-01-01,1975-01-01
0.0,14803,6,5,252.0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,190000,2006-01-06,1971-01-12,1971-01-12
0.0,13500,6,7,0.0,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,2,564,409,0,0,0,0,0,0,235000,2008-01-03,1960-01-01,1975-01-10
84.0,11340,6,5,0.0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1,312,0,0,228,0,0,0,0,125000,2006-01-03,1923-01-08,1950-01-05
60.0,9600,6,5,0.0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,79000,2008-01-04,1924-01-06,1950-01-07
60.0,7200,5,7,0.0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,109500,2006-01-06,1950-01-04,1950-01-04
