Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes
Sagar Ratna,Allahabad,"South Indian, North Indian, Chinese, Continental",400,No,No,2,3.5,Yellow,Good,134
Moti Mahal Delux,Allahabad,"Mughlai, North Indian, Chinese",800,No,No,3,3.3,Orange,Average,58
Makhan Fish and Chicken Corner,Amritsar,"North Indian, Chinese",700,No,No,2,3.4,Orange,Average,345
Charming Chicken,Amritsar,North Indian,300,No,No,1,3.9,Yellow,Good,151
Ahuja Milk Bhandar,Amritsar,Beverages,100,No,No,1,4.0,Green,Very Good,52
Crystal Restaurant,Amritsar,"North Indian, Mughlai",800,No,No,3,3.4,Orange,Average,122
Brijwasi Chat Bhandar,Amritsar,Street Food,150,No,No,1,3.6,Yellow,Good,56
Bubby Fish & Chicken Corner,Amritsar,North Indian,300,No,No,1,3.5,Yellow,Good,91
Bon Gateau,Amritsar,"Cafe, Bakery, Fast Food",500,No,No,2,3.4,Orange,Average,26
The Yellow Chilli,Amritsar,"North Indian, Mughlai, Chinese",1200,No,No,3,3.4,Orange,Average,98
La Roma Pizzeria,Amritsar,"Fast Food, Italian",400,No,No,2,3.5,Yellow,Good,111
Sakhis Watz Kukin,Amritsar,"North Indian, Chinese",700,No,No,2,3.6,Yellow,Good,51
The Kulcha Land,Amritsar,"North Indian, Street Food",200,No,No,1,3.9,Yellow,Good,206
Shudh Restaurant,Amritsar,"North Indian, South Indian, Chinese, Fast Food",600,No,No,2,3.4,Orange,Average,44
Bade Bhai Ka Brothers' Dhaba,Amritsar,"North Indian, Fast Food",500,No,No,2,3.7,Yellow,Good,94
Bharawan Da Dhaba,Amritsar,"North Indian, Fast Food",500,No,No,2,3.5,Yellow,Good,461
Brothers Dhaba,Amritsar,North Indian,500,No,No,2,3.8,Yellow,Good,276
Brothers' Amritsari Dhaba,Amritsar,North Indian,400,No,No,2,3.8,Yellow,Good,71
Gurdas Ram Jalebi Wala,Amritsar,Mithai,100,No,No,1,4.1,Green,Very Good,104
Kesar Da Dhabha,Amritsar,North Indian,500,No,No,2,4.1,Green,Very Good,878
Beera Chicken Corner,Amritsar,North Indian,500,No,No,2,3.8,Yellow,Good,192
Surjit Food Plaza,Amritsar,North Indian,1000,No,No,3,3.5,Yellow,Good,96
Kanha Sweets,Amritsar,Fast Food,150,No,No,1,4.1,Green,Very Good,140
Kream N Krunch,Aurangabad,"North Indian, Chinese, Continental, Italian",800,No,No,3,3.6,Yellow,Good,240
Balbeer's Kitchen & Bar,Aurangabad,"Italian, Continental, Chinese, North Indian",850,No,No,3,3.3,Orange,Average,65
Angeethi Restaurant,Aurangabad,"North Indian, Chinese",600,No,No,2,3.3,Orange,Average,63
Domino's Pizza,Aurangabad,Pizza,700,No,No,2,3.1,Orange,Average,19
Hotel Laadli,Aurangabad,"North Indian, South Indian",350,No,No,2,3.4,Orange,Average,46
Indiana Veg Restaurant,Aurangabad,"South Indian, North Indian, Chinese, Fast Food",450,No,No,2,3.4,Orange,Average,75
Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,"North Indian, Chinese, Continental, Italian, Mexican",1800,No,No,4,3.4,Orange,Average,94
Mauj Restaurant,Aurangabad,"Italian, Fast Food, North Indian, Chinese",500,No,No,2,3.3,Orange,Average,47
Naivedya,Aurangabad,North Indian,500,No,No,2,3.4,Orange,Average,71
d' Curry House,Aurangabad,"Continental, Chinese, Biryani, North Indian",1000,No,No,3,3.6,Yellow,Good,73
Mokoholic Juice Bar,Aurangabad,"Juices, Desserts",300,No,No,1,3.5,Yellow,Good,21
Ashoka's Veg Restaurant,Aurangabad,"South Indian, Chinese, North Indian",400,No,No,2,3.3,Orange,Average,46
Kareem's Fine Dining,Aurangabad,"Mughlai, Biryani",700,No,No,2,3.3,Orange,Average,45
That Baat,Aurangabad,Maharashtrian,450,No,No,2,3.4,Orange,Average,34
Bhoj Restaurant,Aurangabad,North Indian,450,No,No,2,3.7,Yellow,Good,89
Downside Up,Aurangabad,"Cafe, Mughlai, North Indian",400,No,No,2,3.2,Orange,Average,8
Kareem's Kabab & Biryani,Aurangabad,Mughlai,650,No,No,2,3.4,Orange,Average,39
Great Sagar Restaurant,Aurangabad,"North Indian, Mughlai",600,No,No,2,3.3,Orange,Average,74
Kailash Restaurant,Aurangabad,"North Indian, Chinese, South Indian, Fast Food",450,No,No,2,3.3,Orange,Average,76
Yalla Yalla,Aurangabad,"North Indian, Hyderabadi",500,No,No,2,3.3,Orange,Average,71
Sultans of Spice,Bangalore,"North Indian, Mughlai",1300,Yes,Yes,3,4.1,Green,Very Good,2416
The Fatty Bao - Asian Gastro Bar,Bangalore,Asian,2400,Yes,Yes,4,4.7,Dark Green,Excellent,2369
Toit,Bangalore,"Italian, American, Pizza",2000,No,No,4,4.8,Dark Green,Excellent,10934
Three Dots & A Dash,Bangalore,"European, Continental",1300,Yes,No,3,3.9,Yellow,Good,1354
Bombay Brasserie,Bangalore,Modern Indian,1500,No,Yes,3,4.2,Green,Very Good,231
Glen's Bakehouse,Bangalore,"Bakery, Desserts, Cafe",800,No,No,2,4.0,Green,Very Good,3533
Onesta,Bangalore,"Pizza, Cafe, Italian",600,No,Yes,2,4.3,Green,Very Good,1413
Onesta,Bangalore,"Pizza, Cafe, Italian",600,No,No,2,4.6,Dark Green,Excellent,781
ECHOES Koramangala,Bangalore,"Continental, American, Italian, North Indian, Chinese, Cafe",950,No,No,2,4.7,Dark Green,Excellent,276
Truffles,Bangalore,"American, Burger, Cafe",800,No,Yes,2,4.7,Dark Green,Excellent,9667
The Black Pearl,Bangalore,"North Indian, European, Mediterranean",1400,Yes,No,3,4.1,Green,Very Good,5385
Eat Street,Bangalore,"North Indian, Chinese, Italian, Street Food, Desserts",400,No,Yes,1,4.3,Green,Very Good,753
Koramangala Social,Bangalore,"Continental, American",1500,No,No,3,4.5,Dark Green,Excellent,1288
AB's - Absolute Barbecues,Bangalore,"European, Mediterranean, North Indian",1400,No,No,3,4.6,Dark Green,Excellent,6907
Flechazo,Bangalore,"Asian, Mediterranean, North Indian",1200,Yes,No,3,4.4,Green,Very Good,983
Onesta,Bangalore,"Pizza, Cafe, Italian",600,No,No,2,4.6,Dark Green,Excellent,627
Communiti,Bangalore,Continental,1200,No,No,3,4.2,Green,Very Good,334
Big Brewsky,Bangalore,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800,Yes,Yes,3,4.5,Dark Green,Excellent,5705
Hoot,Bangalore,"Continental, Italian, North Indian",1400,No,No,3,3.9,Yellow,Good,405
Farzi Cafe,Bangalore,Modern Indian,1500,No,No,3,4.4,Green,Very Good,754
Black N White Cafe,Bhopal,"Cafe, Chinese, North Indian",200,No,No,1,3.3,Orange,Average,51
Maybe There,Bhopal,Cafe,600,No,No,2,3.4,Orange,Average,63
Sagar Gaire Fast Food,Bhopal,Fast Food,250,No,No,1,4.9,Dark Green,Excellent,427
The Kasbah,Bhopal,"North Indian, Chinese",700,No,No,2,3.9,Yellow,Good,126
Bake N Shake,Bhopal,Fast Food,500,No,No,2,4.2,Green,Very Good,223
10 Downing Street,Bhopal,"North Indian, Chinese",1000,No,No,3,4.0,Green,Very Good,257
Chi Kitchen,Bhopal,Chinese,1000,No,No,3,4.0,Green,Very Good,103
Pizza Hut,Bhopal,Pizza,650,No,No,2,4.1,Green,Very Good,118
Kafe Kulture,Bhopal,"Cafe, Fast Food",600,No,No,2,3.8,Yellow,Good,98
Violet Hour,Bhopal,Bakery,500,No,No,2,3.8,Yellow,Good,33
Bapu Ki Kutia,Bhopal,"North Indian, Chinese, South Indian, Fast Food",550,No,No,2,3.5,Yellow,Good,175
Da pizzeria,Bhopal,"Pizza, Italian, Fast Food",500,No,No,2,3.6,Yellow,Good,111
Papa Mexicano,Bhopal,"Fast Food, Mexican, Tex-Mex",350,No,No,2,3.6,Yellow,Good,20
Bake N Shake,Bhopal,Fast Food,500,No,No,2,4.1,Green,Very Good,103
Manohar Dairy And Restaurant,Bhopal,"North Indian, South Indian, Street Food, Bakery",400,No,No,2,4.4,Green,Very Good,243
Manohar Dairy And Restaurant,Bhopal,"North Indian, South Indian, Street Food, Bakery",400,No,No,2,4.1,Green,Very Good,238
Kebabsville - Sayaji Hotel,Bhopal,North Indian,1800,No,No,4,4.3,Green,Very Good,128
Indian Coffee House,Bhopal,South Indian,500,No,No,2,3.9,Yellow,Good,161
The Urban Socialite,Bhopal,"Italian, Mexican, Chinese",900,No,No,3,3.8,Yellow,Good,79
Bake N Shake,Bhopal,Fast Food,500,No,No,2,4.3,Green,Very Good,120
Tyre Patty,Bhubaneshwar,Cafe,500,No,No,2,3.9,Yellow,Good,289
Silver Streak,Bhubaneshwar,Chinese,550,No,No,2,4.1,Green,Very Good,379
Barbeque Nation,Bhubaneshwar,"Mediterranean, Asian, Continental, North Indian, Arabian",1200,No,No,3,4.6,Dark Green,Excellent,154
Central Perk 7,Bhubaneshwar,"Cafe, Charcoal Grill, Steak",600,No,No,2,4.5,Dark Green,Excellent,145
The Chicken Dinesty,Bhubaneshwar,"Fast Food, North Indian, Chinese",500,No,No,2,3.9,Yellow,Good,247
Taste Of China,Bhubaneshwar,Chinese,500,No,No,2,4.0,Green,Very Good,145
Michael's Kitchen,Bhubaneshwar,"North Indian, Asian, European",850,No,No,2,3.7,Yellow,Good,118
Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Cafe, Italian, Mexican, Bakery",1400,No,No,3,4.1,Green,Very Good,256
99 North Restaurant,Bhubaneshwar,"North Indian, Chinese",450,No,No,1,3.6,Yellow,Good,173
Adda,Bhubaneshwar,"North Indian, Chinese, Mexican, Beverages",600,No,No,2,3.8,Yellow,Good,424
Chill Ummm,Bhubaneshwar,"Chinese, North Indian, Cafe",450,No,No,1,3.7,Yellow,Good,338
Lal Qila,Bhubaneshwar,"Mughlai, Chinese, North Indian",500,No,No,2,3.7,Yellow,Good,228
Richard's Kitchen & Coffee Bar,Bhubaneshwar,"Cafe, Chinese, Fast Food, Seafood",450,No,No,1,3.8,Yellow,Good,253
Aangan Horizon,Bhubaneshwar,"North Indian, Chinese, Continental",900,No,No,2,4.0,Green,Very Good,90
Brewberrys The Coffee Bar,Bhubaneshwar,Cafe,400,No,No,1,4.0,Green,Very Good,197
Chai Break,Bhubaneshwar,"Italian, Cafe, Chinese, Continental",800,No,No,2,4.3,Green,Very Good,69
JUGAAD JN.,Bhubaneshwar,"North Indian, Rajasthani",300,No,No,1,4.1,Green,Very Good,199
Cha cTea,Bhubaneshwar,"Cafe, Tea",500,No,No,2,3.8,Yellow,Good,56
Food Fever,Bhubaneshwar,"Chinese, North Indian",900,No,No,2,4.2,Green,Very Good,49
Mainland China,Bhubaneshwar,Chinese,1500,No,No,3,4.3,Green,Very Good,345
Eram Rooftop,Bhubaneshwar,"Asian, Continental",400,No,No,1,3.5,Yellow,Good,89
The Night Factory,Chandigarh,"North Indian, Chinese, Continental, Pizza",850,No,Yes,2,3.7,Yellow,Good,665
Brooklyn Central,Chandigarh,"American, Cafe",1600,No,No,3,4.2,Green,Very Good,676
Chili's,Chandigarh,"Mexican, American, Italian",1400,No,Yes,3,4.3,Green,Very Good,970
Kylin Experience,Chandigarh,"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1600,No,No,3,4.1,Green,Very Good,300
Mocha,Chandigarh,"Continental, Italian, Thai, Finger Food",1400,No,No,3,4.0,Green,Very Good,428
Pirates of Grill,Chandigarh,"North Indian, Continental, Asian",1200,No,No,3,4.0,Green,Very Good,1022
Barbeque Nation,Chandigarh,"North Indian, Chinese",1300,No,No,3,4.5,Dark Green,Excellent,1450
TGI Friday's,Chandigarh,"American, Tex-Mex",1800,No,No,3,4.3,Green,Very Good,228
Pal Dhaba,Chandigarh,North Indian,700,No,No,2,3.8,Yellow,Good,982
Midnight Chef,Chandigarh,"North Indian, Chinese, Continental, Italian, Burger",1000,No,Yes,3,3.4,Orange,Average,502
Nik Baker's,Chandigarh,"Bakery, Desserts, Cafe",650,No,No,2,4.1,Green,Very Good,698
OvenFresh,Chandigarh,"Cafe, Bakery",650,No,No,2,4.1,Green,Very Good,397
Super Donuts,Chandigarh,"Burger, Fast Food, Desserts, Beverages",450,No,Yes,1,4.0,Green,Very Good,265
Taco Bell,Chandigarh,"Mexican, Fast Food",600,No,Yes,2,4.2,Green,Very Good,252
Karim's,Chandigarh,"Mughlai, North Indian",800,No,No,2,3.3,Orange,Average,86
Virgin Courtyard,Chandigarh,Italian,2200,No,No,4,4.4,Green,Very Good,817
Burgrill,Chandigarh,"Burger, Fast Food",500,No,Yes,2,4.5,Dark Green,Excellent,249
Uncle Jack's,Chandigarh,"Desserts, American",600,No,No,2,4.0,Green,Very Good,356
That Madras Place,Chennai,"European, Italian, Desserts",800,Yes,Yes,2,4.2,Green,Very Good,1810
Haunted,Chennai,"North Indian, Chinese, Arabian",800,Yes,Yes,2,3.8,Yellow,Good,519
Pantry d'or,Chennai,"Continental, Cafe, Italian, Desserts",750,Yes,Yes,2,4.4,Green,Very Good,1504
Palmshore,Chennai,"North Indian, Mughlai, Chinese, South Indian",850,Yes,Yes,2,4.2,Green,Very Good,841
Chili's,Chennai,"Mexican, American, Tex-Mex, Burger",1700,Yes,Yes,3,4.8,Dark Green,Excellent,1262
Writer's Cafe,Chennai,"Cafe, European",450,No,Yes,1,4.2,Green,Very Good,191
Fusilli Reasons,Chennai,Italian,350,No,No,1,4.6,Dark Green,Excellent,1510
Ciclo Cafe,Chennai,"Cafe, Continental",1100,No,No,3,4.1,Green,Very Good,1004
Kaidi Kitchen,Chennai,"Italian, Mexican, Chinese, Thai, North Indian",1500,Yes,Yes,3,4.0,Green,Very Good,1820
Bombay Brasserie,Chennai,North Indian,1200,Yes,Yes,3,4.6,Dark Green,Excellent,1753
Maplai,Chennai,"South Indian, Chettinad",1000,Yes,No,3,4.2,Green,Very Good,1714
Paradise,Chennai,"Biryani, North Indian",900,No,Yes,2,3.8,Yellow,Good,1317
L'amandier,Chennai,"European, Cafe, Italian",1200,Yes,Yes,3,4.3,Green,Very Good,1607
Palmshore,Chennai,"North Indian, Mughlai, Chinese, South Indian",850,Yes,Yes,2,4.4,Green,Very Good,645
Palmshore,Chennai,"North Indian, Mughlai, Chinese, South Indian",850,Yes,Yes,2,4.3,Green,Very Good,742
Basil With A Twist,Chennai,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1500,Yes,Yes,3,4.5,Dark Green,Excellent,1210
Barbeque Nation,Chennai,"North Indian, Continental",2000,No,No,4,4.4,Green,Very Good,3848
AB's - Absolute Barbecues,Chennai,"North Indian, European, Mediterranean",1600,No,No,3,4.9,Dark Green,Excellent,859
Coal Barbecues,Chennai,"North Indian, Mediterranean, Asian, Arabian",1400,No,No,3,4.6,Dark Green,Excellent,1267
Pind,Chennai,"North Indian, Chinese",900,Yes,No,2,4.0,Green,Very Good,2272
Kuchi n Kream,Coimbatore,"Cafe, Continental, Fast Food",800,No,Yes,3,4.6,Dark Green,Excellent,202
Haribhavanam Hotel,Coimbatore,"South Indian, Chettinad, North Indian",600,No,No,2,3.9,Yellow,Good,318
Kites Cafe,Coimbatore,Cafe,400,No,Yes,2,3.8,Yellow,Good,124
Zucca Pizzeria,Coimbatore,Pizza,600,No,Yes,2,3.5,Yellow,Good,274
Burger Ka Baap,Coimbatore,Fast Food,500,No,No,2,4.3,Green,Very Good,147
The Cascade Restaurant,Coimbatore,Chinese,1200,No,Yes,3,4.1,Green,Very Good,243
24 Plus Cafe & Restaurant,Coimbatore,"Continental, Fast Food, Desserts, Indian",450,No,No,2,3.8,Yellow,Good,24
Valarmathi Kongunaatu Samayal,Coimbatore,"South Indian, Biryani",350,No,No,2,4.5,Dark Green,Excellent,380
Bird On Tree,Coimbatore,"Continental, Chinese, Thai, Malaysian, North Indian",1200,No,No,3,3.8,Yellow,Good,221
Tim's Bistro,Coimbatore,"North Indian, Continental",700,No,Yes,2,3.9,Yellow,Good,85
Batlivala & Khanabhoy,Coimbatore,"Parsi, North Indian",1200,No,No,3,4.2,Green,Very Good,40
Cafe Totaram,Coimbatore,"Cafe, Fast Food",600,No,Yes,2,4.0,Green,Very Good,132
Cream Centre,Coimbatore,"North Indian, Chinese, Italian, Mexican",1000,No,No,3,4.0,Green,Very Good,203
On The Go,Coimbatore,"Italian, North Indian, Desserts",1500,No,No,4,4.0,Green,Very Good,215
Sree Annapoorna,Coimbatore,"South Indian, North Indian, Chinese",400,No,No,2,4.3,Green,Very Good,225
That's Y Food,Coimbatore,"North Indian, Biryani",1400,No,No,3,4.2,Green,Very Good,299
CakeBee,Coimbatore,"Bakery, Desserts",350,No,Yes,2,4.9,Dark Green,Excellent,200
Yari,Coimbatore,"North Indian, Chinese, Street Food",700,No,No,2,4.2,Green,Very Good,221
Cream Stone,Coimbatore,"Desserts, Ice Cream",300,No,No,1,4.3,Green,Very Good,161
Barbeque Nation,Coimbatore,"North Indian, European, Mediterranean",1400,No,No,3,4.4,Green,Very Good,505
The Punjabi Essence Restaurant,Dehradun,"North Indian, Chinese",800,No,No,3,3.6,Yellow,Good,102
Tirupati Restaurant,Dehradun,"South Indian, North Indian, Chinese",500,No,No,3,3.8,Yellow,Good,115
Anandam,Dehradun,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,No,No,3,3.9,Yellow,Good,141
Town Table Restaurant,Dehradun,"North Indian, Chinese, Continental",1000,No,No,4,3.9,Yellow,Good,173
Kalsang Friends Corner,Dehradun,"Chinese, Thai, Tibetan",750,No,No,3,4.2,Green,Very Good,406
The Great Indian Pub,Dehradun,North Indian,1500,No,No,4,4.9,Dark Green,Excellent,50
BMG - All Day Dining,Dehradun,"Chinese, North Indian, Fast Food",0,No,No,1,4.3,Green,Very Good,63
Punjab Grill,Dehradun,"Mughlai, North Indian",1250,No,No,4,4.0,Green,Very Good,98
TBistro,Dehradun,"North Indian, Chinese",550,No,No,3,3.8,Yellow,Good,230
Y Cafe & Restaurant,Dehradun,Cafe,500,No,No,3,4.0,Green,Very Good,94
Eddie's Patisserie,Dehradun,Bakery,350,No,No,2,4.1,Green,Very Good,64
First Gear Cafe,Dehradun,"Cafe, Chinese",700,No,No,3,3.9,Yellow,Good,131
Dunkin Donuts,Dehradun,"Burger, Desserts",600,No,No,3,3.9,Yellow,Good,101
Doon Darbar,Dehradun,"North Indian, Mughlai",600,No,No,3,3.9,Yellow,Good,121
Razzmatazz,Dehradun,Cafe,400,No,No,2,3.9,Yellow,Good,39
Barbeque Nation,Dehradun,"North Indian, Mediterranean, Asian, Chinese",1600,No,No,4,4.4,Green,Very Good,66
Black Pepper Restaurant,Dehradun,"North Indian, Chinese",1200,No,No,4,4.0,Green,Very Good,175
Cafe Marigold,Dehradun,"Cafe, Chinese, Fast Food",500,No,No,3,4.1,Green,Very Good,104
Jalapenos,Dehradun,"Cafe, Mexican",500,No,No,3,4.2,Green,Very Good,68
Kalsang AMA Cafe,Dehradun,Cafe,600,No,No,3,4.2,Green,Very Good,89
Desire Foods,Faridabad,"Chinese, Fast Food, Bakery",250,No,No,1,2.9,Orange,Average,4
Knight Rock,Faridabad,"North Indian, Chinese",500,No,No,2,2.8,Orange,Average,16
Punjab Restaurant,Faridabad,North Indian,150,No,No,1,2.8,Orange,Average,8
Raju Dhaba,Faridabad,North Indian,150,No,No,1,2.9,Orange,Average,8
Rakheja Bakery,Faridabad,Bakery,100,No,No,1,2.8,Orange,Average,7
Snax Points,Faridabad,"Chinese, North Indian, Fast Food",300,No,No,1,3.0,Orange,Average,4
Aggarwal Sweet Corner,Faridabad,Mithai,100,No,No,1,0.0,White,Not rated,1
Kashyap Vaishno Dhaba,Faridabad,North Indian,100,No,No,1,0.0,White,Not rated,3
Total Food Court,Faridabad,"North Indian, Mughlai, Chinese",400,No,No,1,0.0,White,Not rated,3
The Chaiwalas,Faridabad,Cafe,300,No,No,1,0.0,White,Not rated,0
Cafe And More,Faridabad,"Fast Food, North Indian",300,No,No,1,2.9,Orange,Average,4
Green Chick Chop,Faridabad,"Raw Meats, North Indian, Fast Food",350,No,No,1,3.0,Orange,Average,7
Kolkata Hot Kathi Rolls,Faridabad,"Fast Food, Chinese",300,No,No,1,2.9,Orange,Average,11
Aapki Rasoi,Faridabad,North Indian,200,No,No,1,0.0,White,Not rated,1
Fusion Food Corner,Faridabad,"North Indian, Chinese",300,No,No,1,0.0,White,Not rated,0
Punjabi Rasoi,Faridabad,North Indian,400,No,No,1,0.0,White,Not rated,0
Kebab Xpress,Faridabad,"North Indian, Mughlai",600,No,Yes,2,2.8,Orange,Average,49
McDonald's,Faridabad,"Fast Food, Burger",500,No,No,2,3.4,Orange,Average,58
Suruchi,Faridabad,"North Indian, South Indian, Gujarati, Rajasthani",700,No,No,2,3.4,Orange,Average,233
Berco's,Faridabad,"Chinese, Thai",1100,No,Yes,3,3.8,Yellow,Good,508
Dunkin' Donuts,Faridabad,"Burger, Desserts, Fast Food",600,No,Yes,2,3.6,Yellow,Good,98
The Chocolate Room,Faridabad,"Cafe, Desserts",900,No,Yes,2,3.6,Yellow,Good,59
Baskin Robbin,Faridabad,Desserts,300,No,No,1,0.0,White,Not rated,0
Popcorn Fusion,Faridabad,Fast Food,200,No,No,1,0.0,White,Not rated,1
