observation_id,Type,Date,Part of a policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,station,Search Outcome
18939901-b25f-44e6-a55d-3ea2657c9f07,Person and Vehicle search,2018-03-27T15:12:41+00:00,,53.461389,-2.980339,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,A no further action disposal,,False,merseyside,False
5489297b-0f74-4493-bcf9-7f1bced76039,Person search,2019-12-08T18:40:00+00:00,,51.540672,-2.4252700000000003,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,avon-and-somerset,True
fb1fb895-4be8-430c-8e15-d33c1dfc486a,Person search,2019-12-31T12:15:00+00:00,False,51.401735,0.0511649999999999,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
de0505d6-58fa-43ca-b469-57defa65f8c8,Person search,2019-09-18T23:00:00+00:00,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,False,False,dyfed-powys,False
49ae4a66-912b-47bc-b3ae-9c9565400078,Person search,2019-01-19T00:00:00+00:00,,,,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,dyfed-powys,False
297da82c-8c22-4afe-9dd4-a7fddf97f320,Person search,2019-01-04T20:30:00+00:00,False,51.40534,-0.23546,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
083f4c8d-3098-4cbb-a5d5-0d58f3bee7ee,Person search,2019-08-09T22:30:00+00:00,False,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),True,False,west-yorkshire,True
02c2d5c4-fbf9-46d6-b1ce-84b66f7941c3,Person search,2019-07-04T18:25:54+00:00,False,52.467666,1.7433580000000002,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False,suffolk,False
d8fed735-a7fc-4b00-99fd-d1e2018eff44,Person search,2019-05-26T13:45:00+00:00,False,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
0fdb552a-8667-4a95-8d4e-6fef6b59a860,Person and Vehicle search,2019-05-02T00:50:00+00:00,False,51.516925,-0.2050929999999999,Female,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
183f60df-f637-4547-9a39-5220df0af09e,Person search,2018-06-02T00:44:52+00:00,,53.466669,-3.0133,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,merseyside,False
b3eaf0eb-a61b-4d8b-a0d0-284f535a4708,Person search,2019-08-26T00:57:00+00:00,,52.766634,-1.198156,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False,leicestershire,False
978a03f8-0223-4c2c-937d-3fdd8098936b,Person search,2018-10-10T14:15:00+00:00,,50.914059,-1.396457,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,,hampshire,True
7837ce14-521a-4bba-b096-8cf4e6489e9f,Person search,2018-09-17T21:05:00+00:00,False,51.528782,-0.216621,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
aeca55a4-157b-438c-b6f1-de798712b699,Person and Vehicle search,2019-04-29T21:30:00+00:00,False,51.475119,-0.131379,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,metropolitan,False
40a80dbd-d209-4705-a60a-4e673dbe2562,Person search,2019-07-29T10:32:00+00:00,False,51.378427,-0.102657,Male,over 34,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,metropolitan,False
2c21aed9-9d06-4e7c-97e7-ba62546150f6,Person search,2018-08-04T03:30:00+00:00,False,53.54105,-2.008729,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False,greater-manchester,False
c4a2c333-a4e0-4100-b47c-252318e8a349,Person search,2019-01-13T19:04:00+00:00,False,51.573473,-0.017599,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,,,metropolitan,False
7dc0acca-b737-456f-be17-ca6d2dbb6868,Person search,2019-06-26T04:44:00+00:00,False,51.526291,-0.193105,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,metropolitan,False
bc53ed72-d2f1-4696-b615-277c48817628,Person and Vehicle search,2019-12-05T16:25:00+00:00,False,51.424293,-0.088992,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,metropolitan,False
d9e112ec-b3cd-4418-bf6a-f61cd45c9ce8,Person search,2019-12-19T18:01:00+00:00,True,51.884889,0.926549,Male,18-24,Mixed/Multiple ethnic groups - White and Black African,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,essex,False
8430ce1a-e899-4b7a-b9ba-f27f84655c96,Person search,2019-10-30T08:14:00+00:00,,53.215787,-4.150011,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,False,False,north-wales,False
b94ac734-91f5-4231-a47c-ff7c464811d7,Person search,2018-12-13T19:01:00+00:00,False,51.797846,1.1300629999999998,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,essex,False
61cb6f8e-9a2d-4dbb-9091-fefe1cc091b4,Person search,2019-04-29T14:59:27+00:00,,53.42578100000001,-3.030883,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False,merseyside,False
544319e7-5dbc-45fb-a3b5-2985218a9d2d,Person search,2019-02-08T13:30:00+00:00,False,53.757682,-1.470108,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,west-yorkshire,False
d73988d4-e806-4934-b05b-d2efe3a61afe,Person and Vehicle search,2018-03-08T10:50:00+00:00,False,,,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,,Offensive weapons,Nothing found - no further action,,,thames-valley,False
4a1b2f09-c7fb-4626-8499-785907c386b5,Person search,2019-04-05T08:01:56+00:00,,53.410078000000006,-2.947311,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,merseyside,True
4e773de4-d02b-45af-8f4f-6457781f5d6d,Person search,2019-05-09T14:30:00+00:00,,51.268423,-1.113623,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,False,hampshire,True
383d5789-113e-4143-8451-6c7a490ee914,Person search,2019-09-20T14:20:00+00:00,False,,,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
4213e5ac-6634-4347-b616-57a3e8017f15,Person search,2019-12-11T16:45:00+00:00,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,hampshire,True
0c630650-30dc-497e-a19f-8c1aaf7600e7,Person search,2019-08-23T13:30:00+00:00,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,cheshire,True
d2ac8b03-74ac-4af0-84a1-2ef31a8326a1,Person search,2019-10-19T07:07:25+00:00,,,,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,city-of-london,False
189d658e-52b2-4d14-8c96-949c7ce24581,Person and Vehicle search,2018-04-17T14:35:00+00:00,False,51.573872,-0.343769,Male,over 34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,metropolitan,False
a486befe-c1d0-4bed-99a5-ff129cf74482,Person and Vehicle search,2019-07-05T17:38:00+00:00,False,51.546877,0.1090619999999999,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
11a3b590-4964-464d-b400-d94c4f77af6c,Person search,2019-07-04T18:00:00+00:00,False,51.568238,0.004207,Male,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
5322d94d-e202-4839-a595-63cae43a1304,Person search,2019-06-11T10:55:00+00:00,,50.802515,-1.072853,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,hampshire,True
966a7b8a-89c6-4061-980f-2b1c47b9cb8a,Person and Vehicle search,2019-03-02T03:01:00+00:00,False,51.551221000000005,-0.140306,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
96d1a279-8be7-460c-bca8-1b9788f87fd6,Person search,2018-12-03T11:59:00+00:00,False,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,hertfordshire,False
d561299b-6319-411a-a998-f58a7b0db498,Person and Vehicle search,2019-07-11T13:30:00+00:00,False,,,Male,18-24,Asian/Asian British - Pakistani,Asian,,Controlled drugs,A no further action disposal,,False,thames-valley,False
2ed3833d-2f3b-43ed-bcd3-7011eaa085d9,Person search,2019-08-29T00:00:00+00:00,False,51.590051,-0.338806,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,metropolitan,False
30b69049-78c1-4e70-9458-dc039ddc8525,Person search,2018-06-06T19:05:00+00:00,False,52.943245,-1.1504450000000002,Female,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,nottinghamshire,False
4a7a0ba4-1042-4e8c-b587-ee403e9df568,Person search,2018-06-13T13:38:00+00:00,True,52.950775,-1.149881,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,nottinghamshire,False
d0af2a0f-b19f-4943-bffd-b3a405faf7ac,Person search,2019-06-25T01:25:39+00:00,False,52.292801,-1.925194,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,,west-mercia,False
0e1ac81e-a1bf-4bef-927e-b43cb2eddda0,Person search,2018-10-03T12:15:00+00:00,False,,,Male,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
8734b98e-df6e-46bf-8533-0225fefa1784,Person and Vehicle search,2019-10-11T18:40:00+00:00,False,51.387617,1.3886969999999998,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,kent,True
219bb1d8-0d7c-41c1-9dd2-00fc620f3a83,Person search,2019-02-28T13:00:00+00:00,False,51.514246,-0.131436,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,metropolitan,False
0a8f8f75-d3de-4a7a-881f-c33c1d708764,Person search,2018-02-08T00:01:00+00:00,False,51.795741,1.149934,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,True,False,essex,True
0b61e99e-fcdd-4ecc-8254-d5fb020338d6,Person and Vehicle search,2019-05-11T23:45:00+00:00,False,,,Male,25-34,,White,,Controlled drugs,Khat or Cannabis warning,True,False,thames-valley,True
b2ebc38e-dd9a-45e9-a9b8-451ff3a6b4e8,Person search,2019-08-07T15:00:00+00:00,False,51.456705,-0.192918,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,metropolitan,False
25a1b704-45c3-487c-9d2d-1ed9b9893c47,Person and Vehicle search,2018-08-30T22:23:00+00:00,False,51.578596000000005,-0.038304,Male,25-34,White - Any other White background,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,metropolitan,False
5b476f2c-5f6e-46da-a36a-f75093b75bb0,Person and Vehicle search,2019-11-27T20:27:00+00:00,False,,,Female,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,,Controlled drugs,A no further action disposal,,,thames-valley,False
acf86235-1319-4c95-a401-3d7541665226,Person search,2019-10-18T04:05:05+00:00,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,,cleveland,False
5aff672c-88f0-44c4-a9f3-57a3b879f8ff,Person search,2019-04-25T18:00:00+00:00,False,50.365302,-4.097659999999999,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,devon-and-cornwall,False
d7b609d6-55be-4288-a569-67c1560d2591,Person search,2018-05-10T23:00:00+00:00,,50.720761,-1.959731,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,dorset,True
de733b50-52fa-4984-a6af-477f068df853,Person search,2018-04-18T15:20:00+00:00,False,51.546691,0.019443,Male,over 34,Mixed/Multiple ethnic groups - White and Asian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
e825864c-85da-4e90-a1fa-f021e712ecdb,Person and Vehicle search,2018-08-08T19:01:00+00:00,True,51.545398,0.719983,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,essex,False
1aad59cb-4540-4a21-8400-45725c9241a2,Person search,2018-12-18T09:27:00+00:00,False,51.449404,-0.1014,Male,over 34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,metropolitan,False
cf2aced9-4a47-4faf-ad31-03d7cf751cac,Person and Vehicle search,2019-05-04T16:30:00+00:00,,50.941547,-2.637201,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False,avon-and-somerset,False
fee78419-8ad3-4827-9527-7b0f08c737b6,Person search,2019-07-01T15:30:48+00:00,,53.401046,-2.976003,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,merseyside,True
1849c07f-863e-479e-af9c-530943ee7dcf,Person search,2019-07-16T20:34:00+00:00,False,51.480739,-0.040461,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,metropolitan,False
f1d4eade-40fa-4a42-ad07-4ac5b370a15e,Person search,2018-08-22T11:15:00+00:00,False,51.541963,0.001481,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,metropolitan,False
7cc8e465-e39e-45d1-ae50-39b5db7b7e3f,Person search,2019-03-08T19:35:00+00:00,,51.4591,-0.971711,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,btp,False
a6d5992d-b46b-4165-9699-8574163f77df,Person search,2019-05-05T03:20:00+00:00,False,51.282516,-0.075997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,False,,surrey,False
73123d67-d5fe-495b-ba7f-80b0552402d5,Person search,2018-03-04T01:30:00+00:00,False,51.1236,0.2625719999999999,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,False,,kent,False
878fdacb-c37b-4ffe-87f1-1283a6985049,Person search,2019-08-26T14:15:00+00:00,False,51.517311,-0.207384,Male,18-24,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Community resolution,,,metropolitan,False
de9fa04b-a5ff-4390-a322-4356faf89e51,Person search,2019-10-15T15:44:00+00:00,False,51.482117,-0.101237,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,metropolitan,False
32149151-a1dd-4c4f-b002-d4dc81c871f9,Person search,2019-10-29T21:05:00+00:00,False,51.538543,-0.000429,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,metropolitan,False
5e97f4ce-f11d-468a-b340-55c82a63ab09,Person and Vehicle search,2018-09-23T18:40:00+00:00,False,51.560573,-0.253263,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,metropolitan,False
c77268d7-4350-4887-a50d-ae5bbd729bfa,Person search,2018-04-07T00:51:00+00:00,False,51.549497,0.044333,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,metropolitan,False
529bb5d8-e590-4c49-9f90-4c16c4767f85,Person search,2018-07-07T17:30:00+00:00,False,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False,devon-and-cornwall,False
cbf00178-2c33-4530-b5d5-cc0a8c0d5592,Person search,2019-02-17T04:50:00+00:00,False,51.45916,-0.1411859999999999,Female,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,metropolitan,False
39d62d73-3959-4a9b-97ba-6fe2676c9586,Person search,2018-07-24T20:15:00+00:00,False,,,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
973d39e8-6a26-4110-bf5c-99fcd701be5a,Person and Vehicle search,2018-09-09T19:30:00+00:00,False,51.441902,0.381839,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,,kent,True
beffb185-6b59-4bef-968e-a261d715b459,Person and Vehicle search,2018-12-20T02:47:00+00:00,False,51.543091,-0.145974,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
7ea24c39-b5ad-43ac-9bfd-e96e4977f33e,Person and Vehicle search,2019-07-20T21:08:00+00:00,False,51.547776,-0.2411469999999999,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,metropolitan,False
f71a42c9-381b-4d64-becd-26bbf7106436,Person search,2019-05-09T16:30:00+00:00,False,51.517189,-0.013904,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
a9d5bd9f-9b3c-403e-a141-f551782a5ee0,Person and Vehicle search,2018-08-15T10:34:00+00:00,False,51.531046,-0.116907,Male,18-24,Mixed/Multiple ethnic groups - White and Black African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
c69243d8-7a07-40c2-a7dc-dd325e0c7280,Person search,2019-11-14T22:26:00+00:00,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Articles for use in criminal damage,A no further action disposal,,,lancashire,False
6023cf82-7fa5-45df-86dc-7c37884ea790,Person search,2019-07-31T17:30:00+00:00,False,51.486747,-0.07362,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,metropolitan,False
