ISBN,Genre
0679310002,Fiction
0312288115,Fiction
0380710218,Detective and mystery stories
0515118656,Fiction
0553289063,Fiction
0671673688,Fiction
1561672033,
0425178242,Fiction
0385721420,Fiction
0451202341,Fiction
0743418190,Fiction
0385335407,Fiction
0965746828,Language Arts & Disciplines
0060923245,Fiction
0486272664,Poetry
0786015276,Fiction
0060913509,Fiction
0553272837,Fiction
0440225078,Fiction
0312145543,Fiction
0425181111,Fiction
0380732688,Fiction
0140286276,Fiction
0373484100,Fiction
0449907481,Fiction
0553107305,Fiction
0515127833,Fiction
0345441133,Fiction
0385490992,Fiction
0385424728,Fiction
0312980388,Fiction
0385472951,Fiction
0451195663,Fiction
0425182878,Fiction
0553564528,Fiction
055356451X,Fiction
0849943728,Fiction
084994371X,Fiction
0590406019,
0020442408,Fantasy
0553225987,Business & Economics
042517736X,Fiction
038549825X,Fiction
0345369947,Fiction
067170124X,Fiction
0345353625,Feminists
006017143X,Fiction
0679401377,Fiction
1562827049,Political Science
0821772953,Fiction
0345379454,Fiction
0743206053,Biography & Autobiography
0688169678,Family & Relationships
0439319552,Juvenile Fiction
0590870157,Gardens
0440441501,Juvenile Fiction
0590687301,Adventure and adventurers
0439569842,Dinosaurs
0307118703,Astronomy
030720152X,
0812519655,Fiction
0812524853,Fiction
0449211770,Fiction
0345251733,
0312995431,Fiction
0312312628,Fiction
0446394521,
0590021117,Juvenile Fiction
0553578693,Fiction
0807565288,Juvenile Fiction
0312986769,Fiction
0345413377,Juvenile Fiction
0345413369,Juvenile Fiction
0679893105,Juvenile Fiction
0061096091,Fiction
0345369068,Fiction
0060938455,Social Science
080411952X,Fiction
0060575808,Juvenile Fiction
0060558865,Juvenile Fiction
0553298860,Fiction
0385335679,Fiction
0671525832,Fiction
0553279572,Fiction
0060930187,Fiction
0679450432,Fiction
0821775863,Fiction
0821770209,Fiction
0670855758,Detective and mystery stories
0553562819,Fiction
0446364193,Fiction
0399144463,Business & Economics
006015781X,Popular culture
0316116025,Technology & Engineering
0811203220,Fiction
1573229148,Business & Economics
0787955671,Business & Economics
0425174484,Biography & Autobiography
0385496907,History
0446523992,Political Science
0684717255,Religion
0486272745,Philosophy
8807120194,
0684801221,Fiction
1576737357,Juvenile Fiction
0060083298,Fiction
0140293248,Fiction
0807070718,Biography & Autobiography
0743213831,Fiction
0142000205,Fiction
193156146X,Fiction
0679767789,Biography & Autobiography
0449911683,Artists
0425169626,Fiction
0449245691,Fiction
0140029400,Caribbean Area
2253004022,
2253007102,
2070417743,Fiction
2266033689,
207053880X,Fiction
3499177757,
3889774016,Feminism
0905762487,
3499222604,
3596144434,German language materials
0399147012,Fiction
0670892963,Fiction
0316789089,Fiction
0425184129,Fiction
0385505833,Fiction
0679442790,Fiction
0609605925,Fiction
0684864843,Fiction
0684867818,Fiction
0743406176,Fiction
0679410430,Fiction
0446523569,Fiction
0671042556,Biography & Autobiography
0679450440,Fiction
0609606727,Fiction
0446527793,Fiction
0446531332,Fiction
0385420161,Fiction
0345339711,Fiction
052594463X,Fiction
039304016X,Biography & Autobiography
0399147128,Fiction
0670031046,Fiction
0394574745,Fiction
0316969443,Fiction
0684868911,Fiction
0842336214,Fiction
0399148582,Biography & Autobiography
0684864320,Fiction
0525944834,Fiction
0345428900,Fiction
0671525794,Great Britain
0718144538,Detective and mystery stories
0446602086,Fiction
0394551427,Performing Arts
0064407667,Juvenile Fiction
0007100221,Fiction
2253043974,Colombian fiction
0747549923,Fiction
0198604025,Reference
1860198597,"Decoration and ornament, Celtic"
1842040154,
0140622063,Fairy tales
0571209521,"""Childrens stories"""
2264009306,
1841952931,Glasgow (Scotland)
0416196772,
0375501347,Fiction
0060927240,Fiction
0316776963,Humor
1886383421,Fiction
1888451084,Fiction
0451450256,Fiction
1555835953,Fiction
0962893862,Fiction
0889740828,Social Science
0553579673,Fiction
0451181379,Fiction
0345370740,Fiction
0553574175,Fiction
0553574159,Fiction
0312287240,Fiction
0821750410,Fiction
0451456548,Fiction
0060006048,Young Adult Fiction
0312906552,Fiction
0374386676,Juvenile Fiction
0345395379,Fiction
0307215342,Adventure and adventurers
0345403339,Fiction
0440226694,Juvenile Fiction
0440219604,Juvenile Fiction
0767903285,Sports & Recreation
0345429176,Humor
038529929X,Fiction
0517201658,Fiction
0743211383,Fiction
039914370X,Fiction
1884777805,Computers
0312977905,Fiction
0812521331,Fiction
0451205421,Fiction
0894342789,Education
0440218535,Fiction
0449207595,Humor
0670844594,Fiction
0394559487,History
0804001944,Fiction
0439042917,Juvenile Fiction
043922165X,Juvenile Fiction
0152162445,Juvenile Fiction
0152162577,Juvenile Fiction
015216250X,Fantasy
1562477528,Flute
0439221676,Juvenile Fiction
0439221684,Juvenile Fiction
0439221714,Juvenile Fiction
0439221706,Juvenile Fiction
0440415993,Juvenile Fiction
0895872102,History
068983585X,Juvenile Fiction
0440219078,Juvenile Fiction
185424597X,Religion
2080105434,Cooking
349913358X,
0345356578,Fiction
0345346971,Fiction
0451155750,Fiction
0786890436,Fiction
0521427150,History
0812923278,
0449006557,Fiction
0373250339,Fiction
0380820447,Fiction
0385497679,History
0451454243,Fiction
0373871562,Fiction
0835949362,
0880701102,Meditaions
0312853238,Fiction
0688048730,English language
067175145X,Biography & Autobiography
0440211727,Fiction
0380002450,Fiction
0425134350,"Ryan, Jack (Fictitious character)"
0385479689,Medical
0671742566,Fiction
0440222818,Fiction
0451204050,Fiction
038533334X,Fiction
0440120470,Fiction
0440130913,Fiction
0449001954,Fiction
0345404777,Fiction
0451185277,Fiction
0515134368,Fiction
0380759497,Fiction
3442098424,
0394578791,Biography & Autobiography
068983571X,Fiction
0553256785,Fiction
0892967994,Fiction
0061064505,Authorship
1551668785,Fiction
0380752115,Fiction
0553212583,Fiction
0446364762,Fiction
0425166619,Fiction
0765341972,"Body, Mind & Spirit"
0590514776,Performing Arts
0373037430,Fiction
0373750013,Fiction
0425139069,Fiction
0130139165,Medical
0373123485,Fiction
0425124347,Fiction
0786889705,Fiction
042512892X,Fiction
0425113892,Fiction
0394820371,Juvenile Fiction
0449134482,Fiction
0345348036,Fiction
0679420118,History
0741407213,
0741402858,
0741403471,
0741403781,
034538184X,Trials (Murder)
0140620109,England
0375420827,Travel
1573229385,Fiction
0385334036,Fiction
0060914653,Continental European fiction (Fictional works by one author).
0345347536,Fiction
0375507256,Fiction
0060529709,Fiction
0876850867,Fiction
0140274154,American literature
0679743464,Fiction
0375704027,Fiction
0874067391,London (England)
0451527038,Fiction
1590520777,Religion
0553586122,Fiction
0553584510,Fiction
1551662744,Fiction
0440175623,Fiction
0440216842,Fiction
0394800133,
0060972777,"Authors, American"
0064401472,Juvenile Fiction
0345418018,Fiction
0684801469,Fiction
0393961192,
0872203492,Fiction
0911104542,Pets
0140253602,Fiction
0671789422,Fiction
014016930X,Fiction
0679732764,Fiction
0553273914,Fiction
0060256672,Juvenile Nonfiction
039592720X,Fiction
0810935627,Poetry
0671003755,Fiction
0553268449,Fiction
0375705228,Fiction
038001503X,Colombian fiction
0835607860,Religion
0806996021,"Body, Mind & Spirit"
0440215625,Fiction
0877733759,Self-Help
0140042393,California
1590520653,Religion
3446202218,
067142517X,Business & Economics
0446604801,Fiction
0679734775,Fiction
0689715625,Juvenile Fiction
0812539389,Fiction
0345409469,Science
1558747346,Young Adult Nonfiction
0763615382,Juvenile Fiction
0141001771,Fiction
0786884622,Fiction
0449005569,Fiction
0671027344,Fiction
0786927089,Fiction
0684831058,Fiction
0375420673,Fiction
0395353416,Fiction
0066211611,Fiction
0312254164,History
3746611229,Alienation (Philosophy)
3423009152,Berlin (Germany)
3596133319,Alienation (Social psychology)
3453171977,
3423620005,Philosophy
034537522X,Fiction
0345375211,Fiction
034545829X,Fiction
0140042520,Fiction
0380789035,Fiction
0446677574,Biography & Autobiography
0345358791,Fiction
0060964049,Fiction
1558171398,
0425121046,Fiction
0441317502,
0804102279,Fiction
0812551389,Fiction
0345298985,Fiction
0345316991,"Covenant, Thomas (Fictitious character)"
034531042X,"Covenant, Thomas (Fictitious character)"
0345310306,"Covenant, Thomas (Fictitious character)"
0345310292,"Covenant, Thomas (Fictitious character)"
034531011X,Fantasy fiction
0679734058,Fiction
0451130448,
0345370775,Fiction
0441366945,"Fantastic fiction, American."
0915950839,Family & Relationships
0743457943,Fiction
0060171510,Fiction
0312421001,Biography & Autobiography
0786000988,Fiction
0380018179,Fiction
0517395754,Fiction
0553571656,Fiction
0942257324,Dwellings
0805008950,Fiction
0786866276,Fiction
0151000638,China
0140266771,Fiction
0679723420,Fiction
0441004016,Fiction
3257061269,Alchemists
0425137015,Fiction
0553572490,Fiction
0553576976,Fiction
0451450604,Fiction
0441001335,Fiction
0451454677,Fiction
0373257074,Fiction
0441435351,Fiction
0373057296,
0571197779,Fiction
0785268480,Biography & Autobiography
0851707777,Performing Arts
0551031123,Religion
0551032510,Literary Collections
000649840X,English fiction
0140431268,
0099771519,Geishas
0486265862,History
0876855575,Fiction
3257250053,Elephants
3257250460,"Fantasy fiction, French"
3442435838,German fiction
3453132262,Archetype (Psychology)
3407805853,Animals
0385498721,Fiction
0972948503,Fiction
2070372294,French fiction
0316107417,Humor
0894803700,Self-Help
0553801031,Religion
0590457225,Audiobooks
0140390693,Juvenile Fiction
0439404371,Juvenile Fiction
0679741011,Social Science
0345307674,Fiction
0766607119,Juvenile Fiction
1573225789,Biography & Autobiography
0425050807,Fantasy
0553296981,Amsterdam (Netherlands)
0345285549,Fiction
0451169530,Fiction
0385335881,Fiction
0553258001,Fiction
0373871279,Fiction
0373484070,Fiction
0805063889,Business & Economics
068986020X,Juvenile Fiction
0671568809,Juvenile Fiction
1573228567,Religion
0553582658,Fiction
051513399X,Fiction
0373218400,Fiction
0517006456,Fiction
0786867086,History
1569471800,Fiction
0374216495,Fiction
0312274572,Fiction
0679419152,Humor
0060192895,
0140259198,Italian fiction
0345435249,Fiction
0441003257,Fiction
0446606812,Fiction
0671028375,Fiction
0671759361,Fiction
0830724982,Religion
3442720001,
0515132632,Fiction
044990671X,Fiction
0688124402,Fiction
155970117X,
0688105408,Botswana
0871130297,Authors
0440500095,Fiction
0060930535,Fiction
044990928X,Biography & Autobiography
0060916508,Fiction
0756401453,Fiction
0963270702,Fiction
0708881297,Dinosaurs
0590112899,Boys
0345361792,Fiction
0552999512,Fiction
0394404289,Philosophy
000636988X,Child care
0345458915,Fiction
038531258X,Fiction
0553256696,Biography & Autobiography
0802433243,Fiction
0375413081,Biography & Autobiography
1400034779,Fiction
038533303X,Biography & Autobiography
0451163753,Fiction
0440414520,Juvenile Fiction
0671880187,Domestic fiction
0671721038,Fiction
0671311891,Extraterrestrial beings
0767902521,Travel
0553377868,Fiction
0472113658,Fiction
1558744606,
0345325818,Fiction
043909013X,Juvenile Fiction
0140244824,Fiction
096478260X,Force and energy
0553346768,"Body, Mind & Spirit"
0312983212,Fiction
0553486411,Juvenile Fiction
3821807059,Fiction
0865532168,Biography & Autobiography
1566197155,JUVENILE FICTION
0805210318,Health & Fitness
0385324057,Fiction
0609602535,Terrorism
0425185710,Fiction
0425178773,Fiction
0671578391,Fiction
0425095584,Fiction
0451409086,Fiction
0486203077,Fiction
0618074716,Fiction
1400062888,Humor
0312303033,Fiction
1931520038,Fiction
0553377876,Fiction
1558612815,Fiction
014025448X,Fiction
0671793489,Fiction
0174434642,English drama
0679772677,Law
0449149676,Fiction
0449006344,Fiction
0451523067,England
0743418174,Fiction
0451526295,Fiction
0451187903,England
0385491050,Fiction
0446605891,Fiction
0394758285,Fiction
0345370805,Fiction
0375703055,Fiction
0156006529,Fiction
0312243022,Fiction
0679761837,Family & Relationships
0385490445,Fiction
0380725398,Fiction
0345316770,Fiction
0070212570,Fiction
0385480016,Language Arts & Disciplines
0061098361,Fiction
0061093092,Fiction
0451411013,Fiction
0553580078,Fiction
0425189414,Fiction
0812909372,English language
0451410912,Fiction
0316781266,Fiction
0486280616,Fiction
0671032658,Fiction
0451402103,True Crime
0373250223,Fiction
0671701053,Biography & Autobiography
0671689231,Biography & Autobiography
0373711026,Fiction
0373710992,Fiction
0373711107,Fiction
0373711123,Fiction
0373711115,
0373711131,Fiction
0791423549,Psychology
0465016103,Business & Economics
0373226519,Fiction
0380012774,Drama
225313922X,Fiction
0142004030,Fiction
0452281784,Fiction
0345436911,Fiction
0802135196,Fiction
0440217520,Fiction
0679450548,Fiction
0451135555,
3499232871,
0609600745,Self-Help
0590317822,Cats
014056232X,Juvenile Fiction
0590447319,Juvenile Fiction
0440940001,Juvenile Fiction
0440401119,Juvenile Fiction
0440203155,Dutch Americans
0812565959,Fiction
0880387300,Fiction
0425163385,Fiction
0743444051,Fiction
0061056103,Fiction
0425157539,Fiction
0553585681,Fiction
0553585118,Fiction
0886777690,Fiction
0743212002,Fiction
3426650754,German fiction
0380803526,Fiction
1854879073,Fiction
037348397X,Fiction
0380773155,Juvenile Fiction
2070360075,Fiction
0786889373,Fiction
2070426815,Fiction
2070364283,Fiction
2266128566,Fiction
2070363104,
2258036992,
0874493803,
1569870942,
1579730272,"""Bugs life (Motion picture)"""
0812094271,Juvenile Nonfiction
0380600129,Juvenile Fiction
0316693324,Fiction
1841215457,"""Childrens stories"""
0007108648,Juvenile Fiction
0590629824,Juvenile Fiction
0743412273,Fiction
8420725927,Juvenile Fiction
0140089586,Fiction
0316140651,Juvenile Fiction
0345367898,Fiction
0205280854,Children with disabilities
0553110721,Fiction
1558534245,
0553580272,Fiction
0803281730,
0679452281,Fiction
0312169655,Fiction
0449912558,Fiction
0934257345,Fiction
0312205872,Antiques & Collectibles
0440226430,Fiction
0385721358,Fiction
031231616X,Fiction
0971453217,Family & Relationships
0971453209,Family & Relationships
0785268030,Family & Relationships
0743201736,Business & Economics
0312269102,Fiction
0345401123,Fiction
1551669501,Fiction
0375707972,Fiction
0618126988,Fiction
0060094850,Fiction
0060192305,"Body, Mind & Spirit"
0872860175,Poetry
031219126X,Fiction
0020518609,Fiction
0446310492,Fiction
0515090506,Fiction
0399145087,France
0812590244,Fiction
0963641328,Humor
1574551108,"Catechisms, English."
0879739304,Religion
0670829943,Canada
0836218256,Humor
0805420460,
1575666529,Fiction
0312990456,Fiction
8807015293,
0312423209,Fiction
0141180633,Fiction
0140283382,Fiction
0773762078,Juvenile Fiction
0786887842,Biography & Autobiography
0192817264,Adventure stories
0751522732,Fiction
0091850401,
1853260312,Fiction
0140016821,
0440418569,Juvenile Fiction
0786014210,Fiction
0441005667,Fiction
0553259830,Fiction
0061008028,Battle of Britain
1931646384,Self-Help
0399501487,Fiction
3423125551,Fiction
0425188361,Fiction
0395177111,Juvenile Fiction
0060287802,Juvenile Nonfiction
0394718968,Drama
0192820753,Poetry
0671744003,Performing Arts
3596129389,German language
0743203313,Fiction
0425177173,Fiction
0425172554,Fiction
0440224764,Fiction
0553572997,Fiction
034543076X,Fiction
0316089745,Fiction
037542217X,Fiction
0440208912,Fiction
0061093106,Fiction
0373218192,Fiction
0515120006,Fiction
0345433084,Fiction
0385494785,Biography & Autobiography
0385486804,BIOGRAPHY & AUTOBIOGRAPHY
1555973981,Biography & Autobiography
0451180208,Fiction
089587198X,Sports & Recreation
0525237704,Fiction
039914255X,Blood groups
0340649763,African Americans
0440236673,Fiction
0553295071,Fiction
0316291161,Fiction
1590171012,Juvenile Fiction
0060505273,History
0702229962,Biography & Autobiography
0679771476,Fiction
031215125X,Fiction
0064405176,Juvenile Fiction
0440235162,Fiction
076790382X,Biography & Autobiography
0330357808,
0425158616,Fiction
0307001385,Juvenile Fiction
0140143599,Fiction
1888698357,Biography & Autobiography
0933121245,
0671537458,Fiction
0517573822,Poetry
0877732906,Philosophy
0743437810,Fiction
0385240406,
0060116188,Actresses
0394742591,Biography & Autobiography
0684863324,Fiction
0884053660,
0812590236,Fiction
0515127221,FICTION
0425161242,Fiction
0312982194,Fiction
0451195922,Fiction
0425169863,Fiction
0446609323,Fiction
0446610038,Fiction
155143234X,Juvenile Fiction
0891074759,Fiction
0440224608,Fiction
2253004243,
0812566629,Fiction
0816614024,Philosophy
3518390473,
3596113350,
3453189442,
3462031252,
0843943769,Fiction
0553583085,Fiction
0805019375,Fiction
1587991039,Business & Economics
0380712172,Cooking
0130179620,Business
0072453907,Business & Economics
0028626958,Family & Relationships
0006550789,Fiction
0812517032,Fiction
0385492081,Biography & Autobiography
0451524829,Fiction
0877287384,Japan
0670848549,Great Britain
0684829746,Comics & Graphic Novels
0425130215,Fiction
8420444782,
8489618844,
0061000175,Fiction
0312971362,Fiction
0061097659,Fiction
006017935X,Fiction
1558532161,Reference
0064408329,Juvenile Fiction
0743457358,Fiction
0743456866,Fiction
0312251890,Health & Fitness
0440227739,Juvenile Fiction
0765342294,Juvenile Fiction
0385508980,Sports & Recreation
037541181X,Biography & Autobiography
006093395X,Travel
0385491328,Fiction
0345434692,Fiction
0452280907,History
0425167313,Fiction
0316314641,Fiction
034540288X,Fiction
0061073091,Performing Arts
0786808772,Juvenile Fiction
0802713661,Architecture
0440237688,Juvenile Fiction
0553577395,Fiction
0425167720,Fiction
0609610597,Fiction
0374281602,Fiction
0140255370,Social Science
0394543971,Fiction
0060970790,Medical
0156787334,Fiction
0448095300,
0446355224,Fiction
0061030953,Fiction
0684867621,Fiction
0330294377,"Authors, Australian"
3257228007,Fiction
0553582143,Fiction
0743202961,True Crime
0399148620,Fiction
0679426159,Fiction
067169071X,True Crime
0679732241,Fiction
042513301X,Fiction
0515090174,Fiction
0515095826,Fiction
1570719586,Fiction
0553580876,Fiction
0385475713,Fiction
0425045250,
0151006903,Fiction
1931561281,Fiction
0679744479,Fiction
1562477676,Juvenile Fiction
0789414708,Childbirth
0440208149,Juvenile Fiction
014029645X,Fiction
0345416880,Fiction
0312874006,Fiction
1593080743,Fiction
0805051589,Biography & Autobiography
0312314256,Fiction
0060187271,Fiction
038548951X,Fiction
0345386256,Performing Arts
0679725164,Drama
0060901012,Fiction
0060930071,Fiction
0060975547,Fiction
0375704000,Fiction
0609806505,Fiction
055326396X,History
0440234824,Fiction
0393312801,Fiction
0446525804,Fiction
0446516570,Fiction
0380752298,Fiction
0786005998,Fiction
0385254520,Fiction
0060170441,Medical
0590431536,Detective and mystery stories
0515122491,Fiction
051512902X,Fiction
0812530314,Fiction
0552138223,Cats
0091880955,Gardens
0563537329,Brain
8435015521,
0140265686,Fiction
0140257934,Fiction
0140254544,Fiction
0451524934,Fiction
0679721819,Fiction
0393038440,History
0737020121,Cookery for one
0375412972,Fiction
0449225151,Fiction
0590449737,Juvenile Nonfiction
0892816562,Religion
0765342405,Fiction
0345350499,FICTION
0689837070,Fairies
0767905180,Fiction
0743482891,Fiction
037383232X,
0373709102,Fiction
0517077744,Fiction
0449210197,
0373709617,Fiction
0373510225,Fiction
0373301529,Mustang
0373240228,Fiction
059035342X,Juvenile Fiction
0373764146,Fiction
0446529788,Fiction
0743246918,Fiction
1551664690,Fiction
0373835426,Fiction
0373691157,
0373301537,Man-woman relationships
0373708319,
0671671138,Fiction
0449287092,Afghanistan
0671700081,
0821724231,
0380804670,Fiction
0425109267,History
0553126911,
8807810360,Fiction
0060506679,Fiction
0812504364,Fiction
2743606789,Leisure
8806160427,Fiction
9500703203,Foreign Language Study
0312281250,Fiction
038082101X,Fiction
0618050140,Poetry
0671708635,Business & Economics
0812970101,Fiction
0373630468,
0061012289,Fiction
0425162788,Fiction
3404920910,Fiction
2070419878,Fiction
0345342968,Fiction
0812550706,Fiction
0441102670,Fiction
0441104029,Dune (Imaginary place)
0061012149,Biography & Autobiography
0345378482,Fiction
0671758896,Fiction
0451177096,Fiction
0345422384,Fiction
0812513754,Fiction
0312852487,Fiction
0394712447,Philosophy
0671722727,Drama
0070419361,Psychology
